,PROD_NAME,PROD_PRICE,PROD_ITEM,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Mögliche Lieferzeiten,Inhalt,Handelsklasse,Ursprungsland,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Eigenschaften,Lieferant,Region,Ursprungsregion,Qualität,Sorte,Beschreibung,Handelsmarke,Urprungsland,Handelklasse,Mix,Zutaten/Inhaltsstoffe,,Brennwert,Fett,davon gesättigte Fettsäuren,Kohlenhydrate,Zucker,Protein,Frischegarantie (mindestens),Ballaststoffe,Kann Spuren enthalten von 
12,Bio Mango,"2,09€",Mango,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54455-bio-mango/,https://bilder.kolonial.no/local_products/4294da28-8336-4a6e-8686-5201a4b918e2.jpg?auto=format&fit=max&w=1000&s=4010afb1d3203c6b598a3c1b87a33be0,täglich,1 Stück,II,"Peru, Burkina Faso oder Senegal",Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
13,"Bio Trauben dunkel, kernlos","3,99€",Trauben,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54456-bio-trauben-dunkel-kernlos/,https://bilder.kolonial.no/local_products/b0bd51c2-3519-4d7f-a1a4-03f26bed58dd.jpg?auto=format&fit=max&w=1000&s=78a2d98f2506f5d659ef46bdc5abb287,täglich,400 Gramm,II,Südafrika,Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
14,Bio Orangen,"2,79€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54465-bio-orangen/,https://bilder.kolonial.no/local_products/8c2de667-a0cf-4f67-bdf0-6419d97c8672.jpg?auto=format&fit=max&w=1000&s=f56bef357da52f47cb3c591fc8d0ab02,täglich,1 Kilogramm,II,"Spanien, Griecheland oder Ägypten",Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
15,Apfel Kanzi Nicoter,"2,79€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56709-apfel-kanzi-nicoter-6-stuck/,https://bilder.kolonial.no/local_products/de8600e1-c2f5-43da-977f-4d92ab86c074.jpg?auto=format&fit=max&w=1000&s=cfc0c5b9a962977e1fe9e75b76085d38,täglich,1 Kilogramm,I,Deutschland,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
16,Bio Bananen,"1,69€",Bananen,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/61507-bio-bananen/,https://bilder.kolonial.no/local_products/38761f64-e6a4-4513-b34b-10d53e221d78.jpg?auto=format&fit=max&w=1000&s=90dbb230e8b4b7a397fef51bbc7d925a,täglich,5 Stück,,,Obst & Gemüse,Obst,oda,Bio-Produkt,keine Angabe,,,,,,,,,,,,,,,,,,,,
17,Bio Avocados Hass angereift groß,"1,89€",Avocado,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/51583-bio-avocados-hass-angereift-gross-mind-200g/,https://bilder.kolonial.no/local_products/a36180f6-b265-4b56-9cb6-c46de9ba07ce.jpg?auto=format&fit=max&w=1000&s=8eda17f706f3e03fbd80c41a111d7040,täglich,1 Stück,I,"Spanien, Dominikanische Republik, Mexiko",Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
18,Bio Demeter Orangen,"2,79€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54723-bio-demeter-orangen/,https://bilder.kolonial.no/local_products/1c33497b-da54-402c-a930-186ce15ae78d.jpg?auto=format&fit=max&w=1000&s=c6ebe5130ca7e734884fadb8df176a2f,täglich,1 Kilogramm,II,Italien,Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
19,Mango genussreif,"2,09€",Mango,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54764-mango-genussreif/,https://bilder.kolonial.no/local_products/beaf0bd9-c78d-4d6c-996b-409f5968568c.jpg?auto=format&fit=max&w=1000&s=971ed722c98f2309631677a2c591e796,täglich,1 Stück,I,Peru oder Brasilien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
20,Passionsfrucht 1 Stück,"1,29€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54765-passionsfrucht-1-stuck/,https://bilder.kolonial.no/local_products/03796c40-d10a-4170-8fe9-ae74c5ba928d.jpg?auto=format&fit=max&w=1000&s=d1e62188bb8498d89b890989ff577504,täglich,1 Stück,I,Kolumbien oder Vietnam,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
21,"Trauben Mix, kernlos","2,79€",Trauben,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55293-trauben-mix-kernlos-dunkel-hell/,https://bilder.kolonial.no/local_products/d6e39b4f-643e-495f-9f4a-62fe75bcd077.jpg?auto=format&fit=max&w=1000&s=87fe43f8ec05052779f82af0ba5cf572,täglich,500 Gramm,I,"Spanien, Italien, Brasilien, Südafrika, Indien oder Ägypten",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
22,Apfel Golden Delicious,"2,29€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56710-apfel-golden-delicious-6-stuck/,https://bilder.kolonial.no/local_products/24cf1029-6eb4-4866-8f7f-ae5b94ac34a6.jpg?auto=format&fit=max&w=952&s=df0aacf1704f60170e26669008e94c3d,täglich,1 Kilogramm,I,Deutschland,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
23,Bio Bananen Junior Fairtrade,"1,49€",Bananen,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/61508-bio-bananen-junior-fairtrade/,https://bilder.kolonial.no/local_products/97c1a759-00c2-4a11-a400-0a6d82270779.jpg?auto=format&fit=max&w=1000&s=3384e558486e614e321cb35971e3ad96,täglich,5 Stück,,,Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
24,Passionsfrüchte 4 Stück,"1,99€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/19690-passionsfruchte-4-stuck/,https://bilder.kolonial.no/local_products/67be6f63-0b6a-48cc-8cf7-da517ece4191.jpg?auto=format&fit=max&w=1000&s=07bfd6dd61ba9a233a98a0341e543a6e,täglich,4 Stück,I,Kolumbien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
25,Mini Bananen,"1,29€",Bananen,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/26815-mini-bananen/,https://bilder.kolonial.no/produkter/a852eee7-caeb-49f4-9844-178af39c4a6c.jpg?auto=format&fit=max&w=1000&s=eb95a1dfbef3157ecd53452e1ba318a5,täglich,250 Gramm,,Ecuador,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
26,Avocados Hass vorgereift,"1,69€",Avocado,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54121-avocados-hass-vorgereift-mind-220g/,https://bilder.kolonial.no/local_products/e3930b4a-799c-4a01-90b4-30703522aff9.jpg?auto=format&fit=max&w=600&s=b2cc9ba59cc58880d22ab24385a24e9e,täglich,1 Stück,I,"Morokko, Kolumbien, Dominikanische Republik, Spanien oder Mexiko.",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
27,Saftorangen,"2,99€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55539-saftorangen/,https://bilder.kolonial.no/local_products/cce75818-cffc-42d5-8923-96c2faec9c9a.jpg?auto=format&fit=max&w=1000&s=ace1c47331f3b02e9d9dc7f786627b14,täglich,"1,50 Kilogramm",I,Spanien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
28,Apfel Wellant,"2,79€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56711-apfel-wellant-6-stuck/,https://bilder.kolonial.no/local_products/e17fb975-f147-41b7-b1f3-aa32b5f6481a.jpg?auto=format&fit=max&w=1000&s=600bdbb3bffc0fc8e142203e025922bb,täglich,1 Kilogramm,I,Deutschland,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
29,Avocados Hass im Netz,"2,99€",Avocado,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54120-avocados-hass-im-netz-700-g/,https://bilder.kolonial.no/local_products/6c90aa01-3553-4624-b0ec-7f51b648f000.jpg?auto=format&fit=max&w=250&s=742533df17fa81d7ced61899278c3cb8,täglich,700 Gramm,I,"Dominikanische Republik, Spanien oder Peru",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
30,Feigen (frisch) 4 Stück,"3,99€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54756-feigen-frisch-4-stuck/,https://bilder.kolonial.no/local_products/69bb01c9-105d-4589-8973-cae34543e426.jpg?auto=format&fit=max&w=1000&s=85314632a2ebd4ffd92b6b2a0eba0e09,täglich,1 Packung,I,"Brasilien, Peru",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
31,Apfel Fräulein,"2,29€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56712-apfel-fraulein-6-stuck/,https://bilder.kolonial.no/local_products/3f89b46c-005e-48a9-9c21-037a87455782.png?auto=format&fit=max&w=1000&s=de577c2f3a61dc43a4df3b7026647783,täglich,1 Kilogramm,I,Deutschland,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
32,Granatapfel,"1,79€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54757-granatapfel/,https://bilder.kolonial.no/local_products/1850785a-bcdb-41bd-addd-dd4aac27ba7d.jpg?auto=format&fit=max&w=1000&s=9992c1baf1ee9b3f8c156fef1c6c5e42,täglich,1 Stück,I,"Spanien, Peru, Türkei, Israel oder Indien",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
33,Apfel rot,"1,89€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56857-apfel-rot-beutel/,https://bilder.kolonial.no/local_products/704a2cb1-062f-4064-921b-3da113dc75ea.jpg?auto=format&fit=max&w=987&s=0f3c10439d8e163b23e560250ec2e211,täglich,2 Kilogramm,I,Deutschland,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
34,Physalis mit Blatt,"1,39€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54767-physalis-mit-blatt/,https://bilder.kolonial.no/local_products/19e93cf2-d59f-456b-8885-4afc63e166a8.jpg?auto=format&fit=max&w=1000&s=25a939d2c1fae12c3c11935ff291f070,täglich,100 Gramm,I,Kolumbien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
35,Zitronen,"1,11€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55542-zitronen/,https://bilder.kolonial.no/local_products/18dee04a-7f89-44f8-a49a-9f7617f9a6a6.jpg?auto=format&fit=max&w=1000&s=5f880d5ab856123f98cefb3e4f25773f,täglich,500 Gramm,I,Spanien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
36,Bio Zitronen,"1,79€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54466-bio-zitronen/,https://bilder.kolonial.no/local_products/b7084d42-c7c6-4906-a878-5cee624a657b.jpg?auto=format&fit=max&w=1000&s=fa651c4a3ef9b6eb9a4b36bb50af9ae1,täglich,500 Gramm,II,"Spanien, Italien, Griechenland, Peru, Chile",Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
37,Physalis ohne Blatt,"2,49€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54772-physalis-ohne-blatt/,https://bilder.kolonial.no/local_products/e5590312-96fe-4e11-b42a-893adc304285.jpg?auto=format&fit=max&w=1000&s=9a36fbfe588a9acd0058f6fd6f12cb85,täglich,125 Gramm,,Kolumbien,Obst & Gemüse,Obst,oda,,keine Angabe,,,,,,,,,,,,,,,,,,,,
38,Bio Demeter Apfel Topaz,"2,39€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/60881-bio-demeter-apfel-topaz-4-stuck/,https://bilder.kolonial.no/local_products/d6474f4a-5124-4b23-9f22-0920036a4219.jpg?auto=format&fit=max&w=689&s=38d621b25eedc91372e5b333faef3858,täglich,500 Gramm,II,Deutschland,Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
39,Kokosnuss,"1,79€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56429-kokosnuss/,https://bilder.kolonial.no/local_products/ac12b69e-fc87-4f6a-bbd5-70b8bab4433f.jpg?auto=format&fit=max&w=1000&s=49f6682c77860c556a2dee400689e874,täglich,1 Stück,I,Elfenbeinküste,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
40,Bio Apfel ELSTAR,"2,29€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56713-bio-apfel-elstar-4-stuck/,https://bilder.kolonial.no/local_products/5f21c1f3-8b31-4115-9056-34171242b317.jpg?auto=format&fit=max&w=1000&s=aeb9a1ead2906dd4e1d715a2d9a66cde,täglich,550 Gramm,II,Deutschland,Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
41,Apfel BRAEBURN,"2,29€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55990-werder-frucht-so-nah-so-gut-apfel-braeburn-4-stuck/,https://bilder.kolonial.no/local_products/af13ae00-21f6-4658-89b4-02683bd36949.JPG?auto=format&fit=max&w=1000&s=6affa148922e496696d9e06bcfd753c9,täglich,1 Kilogramm,I,Deutschland,Obst & Gemüse,Obst,oda,,Werder Frucht GmbH,Brandenburg,,,,,,,,,,,,,,,,,,,
42,"Bio Datteln Medjoul, mit Stein","3,29€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54494-bio-datteln-medjoul-mit-stein/,https://bilder.kolonial.no/local_products/1b60e665-653b-4825-924a-85ffbd8d7324.jpg?auto=format&fit=max&w=1000&s=a6ed851ce77da1e245110f620bc809e7,täglich,150 Gramm,,"USA, Israel",Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
43,Apfel ELSTAR,"2,29€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56010-werder-frucht-so-nah-so-gut-apfel-elstar-6-stuck/,https://bilder.kolonial.no/local_products/52124125-8624-4fdb-8993-7df2110bc9e5.JPG?auto=format&fit=max&w=895&s=945e44b5ee9dd380b7d6a356ccab5c8b,täglich,1 Kilogramm,I,Deutschland,Obst & Gemüse,Obst,oda,,Werder Frucht GmbH,Brandenburg,,,,,,,,,,,,,,,,,,,
44,Apfel BRAEBURN,"2,99€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55992-werder-frucht-so-nah-so-gut-apfel-braeburn-beutel/,https://bilder.kolonial.no/local_products/c6449501-ea8d-456d-84a5-c3db3f97049a.JPG?auto=format&fit=max&w=609&s=d687c6b5d223b2449b459c335e5072ab,täglich,2 Kilogramm,I,Deutschland,Obst & Gemüse,Obst,oda,,Werder Frucht GmbH,Brandenburg,,,,,,,,,,,,,,,,,,,
45,"Datteln Deglet Nour, entsteint","1,49€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56279-datteln-deglet-nour-entsteint/,https://bilder.kolonial.no/local_products/1d0b2504-afb6-4d5c-883c-6fa50648dea0.png?auto=format&fit=max&w=750&s=9406bff8525d92b6d9bb287779cc625e,täglich,200 Gramm,,,Obst & Gemüse,Obst,oda,,,,Tunesien,,,,,,,,,,,,,,,,,,
46,Mandarinen,"2,99€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55544-mandarinen/,https://bilder.kolonial.no/local_products/329b2a8b-b4d6-42f3-b82a-42602e41019e.jpg?auto=format&fit=max&w=1000&s=0752491e64dcc0ec73ce5bfe4661df0e,täglich,1 Kilogramm,I,Spanien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
47,Apfel JONAGOLD,"2,99€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56022-werder-frucht-so-nah-so-gut-apfel-jonagold-beutel/,https://bilder.kolonial.no/local_products/ea5f822e-21a4-4a13-b2d1-f15e8156f756.JPG?auto=format&fit=max&w=609&s=fd0ffa1393dbafdf900220c9c031ec31,täglich,2 Kilogramm,I,Deutschland,Obst & Gemüse,Obst,oda,,Werder Frucht GmbH,Brandenburg,,,,,,,,,,,,,,,,,,,
48,"Datteln Medjoul, mit Stein","3,19€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56280-alinda-datteln-medjoul-mit-stein/,https://bilder.kolonial.no/local_products/e140e1f1-0ee2-407c-8fc7-0f0702579f63.png?auto=format&fit=max&w=1000&s=0b38649fa652d3d7551c6763ee59ea43,täglich,200 Gramm,,,Obst & Gemüse,Obst,oda,,,,Jordanien,,,,,,,,,,,,,,,,,,
49,Apfel ELSTAR,"2,99€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56021-werder-frucht-so-nah-so-gut-apfel-elstar-beutel/,https://bilder.kolonial.no/local_products/827ef03f-368e-42a0-aa18-a08dfa1b6d83.JPG?auto=format&fit=max&w=609&s=e2b6f1479180fae862c37e80abda0fd2,täglich,2 Kilogramm,I,Deutschland,Obst & Gemüse,Obst,oda,,Werder Frucht GmbH,Brandenburg,,,,,,,,,,,,,,,,,,,
50,"Aprikosen, getrocknet entsteint","3,49€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56276-alinda-aprikosen-getrocknet-entsteint/,https://bilder.kolonial.no/local_products/ed3502f0-f157-4625-a5c7-c0b17b0c51f3.png?auto=format&fit=max&w=667&s=cdce1d33ca0f4ceb9b68666566d6a561,täglich,200 Gramm,,,Obst & Gemüse,Obst,oda,,,,Türkei,,,,,,,,,,,,,,,,,,
51,Apfel GALA,"1,49€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56024-werder-frucht-so-nah-so-gut-apfel-gala-3-stuck/,https://bilder.kolonial.no/local_products/10f57ce2-88b2-46fc-b4b3-5fae535e6ac6.JPG?auto=format&fit=max&w=889&s=95ab8d3a7d091afc3a097c69ef4577dd,täglich,500 Gramm,I,Deutschland,Obst & Gemüse,Obst,oda,,Werder Frucht GmbH,Brandenburg,,,,,,,,,,,,,,,,,,,
52,"Honigsüße Feigen, getrocknet","2,49€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56278-alinda-honigsusse-feigen-getrocknet/,https://bilder.kolonial.no/local_products/7ee1ecc8-336c-406e-a736-35a33f17ff8c.png?auto=format&fit=max&w=667&s=cce6df046dbfb2253da51e5798bb8110,täglich,250 Gramm,,,Obst & Gemüse,Obst,oda,,,,Türkei,,,,,,,,,,,,,,,,,,
