,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lagerung,Eigenschaften,Lieferant,Kann Spuren enthalten von ,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Ursprungsregion,EInlage Currywurstscheiben,Bruttogewicht,Bundesland,Herkunftsland,Haltungsstufe,Frischegarantie (mindestens),Beschreibung,Variables Gewicht,Verbrauchshinweis,Verpackungshinweis,Besonderheit,davon Stärke,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,*,Ursprungsland,Ballaststoffe,davon Polyole,Informationen zum Angebot,*Haltungsstufe,Zubereitungshinweis,Zubereitungsempfehlung (gekühltes Produkt),Zubereitungsempfehlung,Abtropfgewicht,Natrium,Hinweis,Backofen,Grill,"Bratpfanne, Pfanne",Zubereitungsempfehlungen,Herkunftsland der Aquakultur/Binnenfischerei,Lateinischer Name,Inverkehrbringer,Verbraucherhinweise,Hinweis zur Frischegarantie
44,Jeden Tag Mini Wiener 2x160g,"2,79€","Mini-Wiener Würstchen, mild geräuchert. Spitzenqualität. , Zentrale Handelsges. ZHG mbH Food hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55125-jeden-tag-jeden-tag-mini-wiener-2x160g/,https://bilder.kolonial.no/local_products/63316d78-751f-40f6-a84a-e29d3dff3f5e.jpg?auto=format&fit=max&w=1000&s=1c1346d753624d3c55b52a72fb66e1c3,,,,,,,119 kJ / 28 kcal,,,"Zentrale Handelsges. ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Deutschland",,"91% Schweinefleisch, Trinkwasser, Speisesalz, Gewürze, Dextrose, Gewürzextrakte, Stabilisator: Diphosphate; Antioxidationsmittel: Ascorbinsäure; Konservierungsstoff: Natriumnitrit; essbare Hülle (aus Rinderkollagen), Buchenholzrauch. Kann Spuren von SENF und SELLERIE enthalten. ",320 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Bio Rinder Rouladen,"16,15€","Fleisch aus der Rinderkeule, geschnitten.

Verpackungshinweis: Der Artikel wurde Vakuumverpackt.
Verbrauchshinweis: Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden. , Biomanufaktur Havelland hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59593-biomanufaktur-havelland-bio-rinder-rouladen-2-sche/,https://bilder.kolonial.no/local_products/663409f1-4cbb-4189-b150-b98ee705a33b.jpg?auto=format&fit=max&w=1000&s=24fc8bd5320c6ffa0330b7bbd1daa96b,,,,,,,,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",Rinder Rouladen ,ca. 400 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,,,3 Tage,"BIO WIE ES SEIN SOLL. Dafür steht die Biomanufaktur Havelland.
Für uns ist Fleisch keine Ware, sondern reine Herzenssache.

Genuss, aber mit Verantwortung: mit der Natur und mit Handwerkskultur. Vorbildliche Bauern. Raffinierte Rezepturen. Über 350 Spezialitäten – in Bio-Spitzenqualität. Für alle, die Wert auf wirklich guten Geschmack legen.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Rinder-Rouladen,"8,99€"," , Westfalenland Fleischwaren GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54211-gustopur-rinder-rouladen/,https://bilder.kolonial.no/local_products/e4494350-ad99-46b7-b628-58bec2e5d99f.jpg?auto=format&fit=max&w=1000&s=77c8a47e53eada1504322a12a955d0b2,0.13 g,21 g,,,2 g,4 g,469 kJ / 111 kcal,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Münster, Deutschland",,100 % Rindfleisch,500 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,Deutschland,"Stufe ① Stallhaltung: Fleisch von Tieren, das mit dem roten Label der Stufe 1 gekennzeichnet ist, kommt aus Tierhaltung, die dem gesetzlichen Standard entspricht.",3 Tage,"Frisch; vom Rind zum Braten, ohne Füllung",,Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde unter Schutzatmosphäre SB-verpackt.,,,,,,,,,,,,,,,,,,,,,,,,,
47,Jeden Tag Mini Frikadellen,"3,49€","Mini-Frikadellen, verzehrfertig gebraten. , Zentrale Handelsges. ZHG mbH Food hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55126-jeden-tag-jeden-tag-mini-frikadellen/,https://bilder.kolonial.no/local_products/e68aa385-42f0-45ed-9467-72096b72ff36.jpg?auto=format&fit=max&w=512&s=7ba04cf0f9f1eaff1d26453cfb4b6a52,1.70 g,14 g,1.50 g,8 g,1.50 g,22 g,1192 kJ / 285 kcal,,,"Zentrale Handelsges. ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Deutschland",,"80% Schweinefleisch zum Teil fein zerkleinert, Zwiebeln, Paniermehl (WEIZENMEHL, Speisesalz, Hefe), Trinkwasser, Speisesalz, Kartoffelstärke, Dextrose, Gewürze, Säureregulatoren: Kaliumlactat, Kaliumacetat; Speisesenf (Trinkwasser, SENFSAAT, Branntweinessig, Speisesalz, Zucker, Gewürze, Gewürzextrakte), Rapsöl, HÜHNERVOLLEI¹, Stabilisator: Diphosphate; Petersilie. ¹Eier aus Bodenhaltung. ",500 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Weber Classic Bratwurst Curry,"8,55€"," , Schulte+Sohn Fleischwaren GmbH & Co. Kg hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59562-weber-classic-bratwurst-curry/,https://bilder.kolonial.no/local_products/1b5ef007-b232-49f0-8dca-423205f4d1a5.jpg?auto=format&fit=max&w=1000&s=35428c8050f3bfc81b85474d1d0bfde0,1.80 g,15 g,1.30 g,1.30 g,5.70 g,15 g,827 kJ / 199 kcal,,,"Schulte+Sohn Fleischwaren GmbH & Co. Kg, Marie-Bernays-Ring 40, D-41199 Mönchengladbach",,"Schweinefleisch (55 % ), Speck, Trinkwasser, jodiertes Kochsalz (Salz, Kaliumjodat), Gewürze, (0,54% Curry), Dextrose, Stabilisatoren: Natriumcitrat und Diphosphat, Naturdarm (Schwein)",500 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Rinder Minutensteaks,"5,49€"," , Westfalenland Fleischwaren GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54215-gustopur-rinder-minutensteaks-flussig-gewurzt/,https://bilder.kolonial.no/local_products/70e8ca35-b8b7-4464-b880-09b462a3f028.jpg?auto=format&fit=max&w=1000&s=5e67faca2155afea75e7d372df4cf4e0,1.40 g,20 g,0.50 g,1.20 g,1 g,3 g,457 kJ / 108 kcal,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Münster, Deutschland",,"96 % Rindfleisch,  4 % Flüssigwürzung (Trinkwasser, Glukosesirup, Stabilisatoren: Natriumcitrate, Natriumacetate; Speisesalz, Antioxidationsmittel: Ascorbinsäure, Natriumascorbat).",320 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,Deutschland,"Stufe ① Stallhaltung: Fleisch von Tieren, das mit dem roten Label der Stufe 1 gekennzeichnet ist, kommt aus Tierhaltung, die dem gesetzlichen Standard entspricht.",3 Tage,"Rinder Minutensteaks, flüssig gewürzt; zum Braten oder für den Grill.",,Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde unter Schutzatmosphäre SB-verpackt.,,,,,,,,,,,,,,,,,,,,,,,,,
50,Duroc Krakauer,"6,69€"," , Schulte+Sohn Fleischwaren GmbH & Co. Kg hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59577-schulte-sohn-duroc-krakauer-5-stuck/,https://bilder.kolonial.no/local_products/5f89bd4e-4df7-40e5-ab5b-88ed23224c66.jpg?auto=format&fit=max&w=1000&s=5fca1a97a13a3419d256d30e50e94530,2.20 g,14.80 g,0.50 g,0.80 g,10.20 g,25 g,1201 kJ / 290 kcal,KühlproduktMuss zwischen 0-7 °C gelagert werden.,,"Schulte+Sohn Fleischwaren GmbH & Co. Kg, Marie-Bernays-Ring 40, D-41199 Mönchengladbach",,"65% Duroc Schweinefleisch, 28 % Schweinebacken, Trinkwasser, Speisesalz, Konservierungsstoff: Natriumnitrit; Würze, Dextrose, Gewürze, Gewürzextrakte, Zucker, Säuerungsmittel: E330; Antioxidationsmittel: E300, E301; Stabilisator: E450, Glucosesirup, natürliches Aroma, regenerierter Rauch, Schweinedarm",500 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Rinder Hamburger,"4,46€"," , Westfalenland Fleischwaren GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54216-gustopur-rinder-hamburger/,https://bilder.kolonial.no/local_products/ddae8547-a3a8-4c80-bd35-f2f089d9f396.jpg?auto=format&fit=max&w=1000&s=8f96efb7b67b7b8e1b62c6dc0784c652,1.10 g,18 g,0.50 g,0.50 g,8.70 g,18 g,972 kJ / 234 kcal,KühlproduktMuss zwischen 0-2 °C gelagert werden.,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Münster, Deutschland",,"98 % Rindfleisch (z. T. fein zerkleinert), Speisesalz, Gewürze, Antioxidationsmittel: Ascorbinsäure.",400 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,Deutschland,"Stufe ① Stallhaltung: Fleisch von Tieren, das mit dem roten Label der Stufe 1 gekennzeichnet ist, kommt aus Tierhaltung, die dem gesetzlichen Standard entspricht.",2 Tage,,,Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde unter Schutzatmosphäre SB-verpackt.,,,,,,,,,"Maximal 20 pro Person. Das Angebot ist gültig bis zum 30. April und solange der Vorrat reicht. Beachte bitte, dass Rabatte auf Produkte nicht reserviert werden, wenn du sie deinem Einkaufswagen hinzufügst. Sie gelten erst, wenn du den Zahlungvorgang abgeschlossen hast.",,,,,,,,,,,,,,,,
52,Duroc Käse-Griller,"5,89€"," , Schulte+Sohn Fleischwaren GmbH & Co. Kg hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59578-schulte-sohn-duroc-kase-griller/,https://bilder.kolonial.no/local_products/47304c18-f59d-403d-b2de-ecd87d60c1f6.jpg?auto=format&fit=max&w=1000&s=4e7a65a71fd14e16194f0eac703ffd3a,2.30 g,16 g,0.50 g,1.10 g,12.70 g,26 g,1249 kJ / 302 kcal,KühlproduktMuss zwischen 2-4 °C gelagert werden.,,"Schulte+Sohn Fleischwaren GmbH & Co. Kg, Marie-Bernays-Ring 40, D-41199 Mönchengladbach",,"56% Duroc Schweinefleisch, 26 % Schweinefleisch, 14% GOUDA (pasteurisierte KUHMILCH, Salz, Säuerungskulturen, mikrobielles Lab, Trennmittel: Stärke), Trinkwasser, jodiertes Kochsalz (Salz, Kaliumjodat), Gewürze (enthalten SENF), Zucker, Stabilisator: Natriumcitrate, Speisesalz, Dextrose, Würze, natürliches Aroma, Schweinedarm ",500 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,,,,,,,,,,Vor dem Verzehr vollständig durcherhitzen.,Der Artikel wurde Vakuumverpackt.,,,,,,,,,,,,,,,,,,,,,,,,,
53,Bio Burger vom Rind,"4,67€"," , Westfalenland Fleischwaren GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54217-gustopur-bio-burger-vom-rind/,https://bilder.kolonial.no/local_products/cd5cf57b-8a19-4351-adeb-76d11005e1aa.jpg?auto=format&fit=max&w=1000&s=4a1663a8035670bd06cc1201a3ef0524,0.10 g,18 g,0 g,0 g,6.80 g,18 g,1004 kJ / 242 kcal,KühlproduktMuss zwischen 0-2 °C gelagert werden.,Bio-Produkt,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Münster, Deutschland",,"98 % Rindfleisch* (z.T. fein zerkleinert), Speisesalz, Pfeffer schwarz*, Antioxidationsmittel: Ascorbinsäure. 
*aus kontrolliert ökologischer Landwirtschaft.

Kann Spuren von Milch (einschließlich Laktose), Sellerie und Senf enthalten.",260 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,,,,,"EU (Um einen Hinweis zur tatsächlichen Herkunft zu erhalten, beachte bitte die Angaben auf der angelieferten Packung selbst; nur diese ist maßgeblich wie auch verbindlich)",,2 Tage,,,Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde unter Schutzatmosphäre SB-verpackt.,Ohne Gentechnik,,,,,,,,"Maximal 20 pro Person. Das Angebot ist gültig bis zum 30. April und solange der Vorrat reicht. Beachte bitte, dass Rabatte auf Produkte nicht reserviert werden, wenn du sie deinem Einkaufswagen hinzufügst. Sie gelten erst, wenn du den Zahlungvorgang abgeschlossen hast.","Stufe ④* Premium: Mit dem grünen Label der Stufe 4 wird z. B. Biofleisch gekennzeichnet, das die Anforderungen an die europäische Öko-Verordnung und ihre Richtlinien erfüllt. Die Haltungsstufe 4 stellt die höchste Haltungsform der Initiative Tierwohl (ITW) dar. Sie ist geprägt durch gentechnikfreies Futtermittel, einen ständigen Zugang zu einem Freigelände sowie mindestens 45 Prozent höhere Platzvorgaben als gesetzlich vorgeschrieben.",,,,,,,,,,,,,,,
54,Rinder Rumpsteak mar. Steakpfeffer,"8,49€"," , Westfalenland Fleischwaren GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54432-gustopur-rinder-rumpsteak-mar-steakpfeffer/,https://bilder.kolonial.no/local_products/2c26a53a-c87a-4563-a748-bc6b96de196e.jpg?auto=format&fit=max&w=1000&s=2cecf7d32143a50605b85bb5c9e40232,1 g,20 g,0.30 g,0.70 g,3.40 g,9 g,681 kJ / 163 kcal,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Münster, Deutschland","Milch, Sellerie, Senf.","90 % Rindfleisch, 10 % Marinade (Rapsöl, Speisesalz, Gewürze (Pfeffer, Knoblauch, Zwiebeln, Rosa Beeren, Tomaten, Karotten, Liebstockwurzel, Pastinake, Lauch, Muskat, Petersilie), Branntweinessig, Palmfett).",ca. 500 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,Deutschland,"Stufe ① Stallhaltung: Fleisch von Tieren, das mit dem roten Label der Stufe 1 gekennzeichnet ist, kommt aus Tierhaltung, die dem gesetzlichen Standard entspricht.",5 Tage,,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde Vakuumverpackt.,,,,,,,,,,,,,,,,,,,,,,,,,
55,Valess Schnitzel,"3,19€","Valess Schnitzel ist der Klassiker unter den vegetarischen Produkten: mit knuspriger Panade, herzhaftem Geschmack und saftiger Konsistenz. Eben einfach ein echtes Geschmackserlebnis. , Friesland Campina Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46714-valess-valess-schnitzel/,https://bilder.kolonial.no/local_products/52f1a7d8-caf4-40e3-9098-46ffead67294.jpg?auto=format&fit=max&w=773&s=676b63e1c5b6e0af7faa4cabf8c39009,1.20 g,12.50 g,1.10 g,1.10 g,9.10 g,9.10 g,826 kJ / 197 kcal,,,"Friesland Campina Germany GmbH, Wimpfener Str. 125, 74078 Heilbronn, Deutschland",,"63% MAGERMILCH, Paniermehl (WEIZEN), Sonnenblumenöl, texturiertes WEIZENEIWEIß, Verdickungsmittel (Calciumalginat, Methylcellulose), Stabilisatoren (Polyphosphat, Kaliumlactat), WEIZENMEHL, HÜHNEREI-EIWEIß*, HAFERSPELZFASER, modifizierte WEIZENSTÄRKE, Aroma, Kochsalz, Eisendiphosphat. *EIER aus Freilandhaltung. Unter Schutzatmosphäre verpackt. ",90 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Niederlande,,,,,,6 Tage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Nackensteaks mar. Kräuter,"5,09€"," , Westfalenland Fleischwaren GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54192-gustopur-nackensteaks-mar-krauter/,https://bilder.kolonial.no/local_products/9f56c2d0-7e79-4f61-a043-ffeb456049c7.jpg?auto=format&fit=max&w=1000&s=2b639a4dc28e1970b86097ab36d487af,1.30 g,18 g,1 g,2 g,4.90 g,15 g,896 kJ / 215 kcal,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Münster, Deutschland","Milch, Sellerie.","Schweinefleisch  (88 %), Marinade (12 %)(Rapsöl, Speisesalz, Gewürze (Zwiebel, Lauch, Knoblauch, Paprika), Branntweinessig, Palmfett, Kräuter (Petersilie, Oregano, Thymian, Schabzigerklee), Paprikaextrakt.",600 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,Deutschland,"Stufe ② Stallhaltung Plus: Mit dem blauen Label der Stufe 2 wird Fleisch gekennzeichnet, das aus einer Haltung stammt, die über die gesetzlichen Standards hinausgeht – darunter fällt auch das Fleisch aus Betrieben der Initiative Tierwohl. Das bedeutet, Tiere haben mindestens zehn Prozent mehr Platz im Stall als gesetzlich vorgeschrieben und es steht ihnen zusätzliches Beschäftigungsmaterial, wie z.B. Picksteine oder Stroh zur Verfügung.",6 Tage,,,Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde unter Schutzatmosphäre SB-verpackt.,,,,,,,,,"Maximal 20 pro Person. Das Angebot ist gültig bis zum 30. April und solange der Vorrat reicht. Beachte bitte, dass Rabatte auf Produkte nicht reserviert werden, wenn du sie deinem Einkaufswagen hinzufügst. Sie gelten erst, wenn du den Zahlungvorgang abgeschlossen hast.",,,,,,,,,,,,,,,,
57,Rinderbraten aus der Keule,"20,80€"," , Westfalenland Fleischwaren GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54437-gustopur-rinderbraten-aus-der-keule/,https://bilder.kolonial.no/local_products/6b3fed20-0679-42e6-bb9f-1feab447a33f.jpg?auto=format&fit=max&w=1000&s=8a570165f6e9b7f482fbed07e084de07,0.13 g,21 g,0 g,0 g,2.40 g,4 g,505 kJ / 120 kcal,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,"Westfalenland Fleischwaren GmbH, Hessenweg 2, 48157 Münster, Deutschland",,100 % Rindfleisch.,ca. 1100 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,Deutschland,"Stufe ① Stallhaltung: Fleisch von Tieren, das mit dem roten Label der Stufe 1 gekennzeichnet ist, kommt aus Tierhaltung, die dem gesetzlichen Standard entspricht.",3 Tage,,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde unter Schutzatmosphäre SB-verpackt.,,,,,,,,,,,,,,,,,,,,,,,,,
58,SunflowerFamily Sonnenblumen Hack pur bio,"4,49€","SunflowerFamily Sonnenblumen Hack, 76g, bio , Sunflower Family hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47126-sunflowerfamily-sunflowerfamily-sonnenblumen-hack/,https://bilder.kolonial.no/local_products/b54d1ed8-d2fd-4af6-bb4a-cea7a313f6dd.jpg?auto=format&fit=max&w=511&s=7f0ced1c8ace2e5fa65f40418367e46a,0.01 g,53.80 g,5.90 g,11.90 g,0.50 g,2.20 g,1359 kJ / 323 kcal,,Bio-Produkt,"Sunflower Family, Am Mühlbach 38, D-87487 Wiggensbach /Allgäu",Gluten.,Sonnenblumenhack: 100% Bio-Sonnenblumenprotein,76 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,,,,,,,,,,,,,,,,,Deutschland,20.10 g,,,,,,,,,,,,,,,,,,
59,Hähnchenbrustfilet Schnitzel mariniert,"5,15€","Unser Hähnchenfleisch stammt von bäuerlichen Erzeugerbetrieben welche nach höchsten Standards für Ihre Tiere sorgen.

Neben besseren Haltungsbedingungen als gesetzlich gefordert, achten die Partnerlandwirte auf eine stabile durchgängige Tiergesundheit.

Beste Herkunft aus Deutschland die man schmeckt. , TLC Landgeflügel GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/53633-landgeflugel-hahnchenbrustfilet-schnitzel-marinier/,https://bilder.kolonial.no/local_products/4a75715b-6ec9-4eb0-8f8d-bbe20808b8c8.jpg?auto=format&fit=max&w=1000&s=28c1737b2e208d56d2f1bc26dec6bf5d,1 g,20.90 g,0.50 g,1 g,1 g,3 g,473 kJ / 113 kcal,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,"TLC Landgeflügel GmbH, Moosvogl 21, 84323 Massing, Deutschland",,"Hähnchenbrust Schnitzel 98%, Rapsöl, Speisesalz, Gewürze, Zucker, Natürliches Aroma, Rapsöl ganz gehärtet",ca. 350 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,Deutschland,,3 Tage,,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",Vor dem Verzehr vollständig mit einer Kerntemperatur von mindestens 75°C durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden.,Der Artikel wurde unter Schutzatmosphäre SB-verpackt.,,,,,,,,,,,,,,,,,,,,,,,,,
60,Rügenwalder Vegane Mühlen Frikadellen,"3,19€","Diese veganen Frikadellen können wir wärmstens empfehlen. Am besten gebraten oder gegrillt. Ob rein in die Pfanne oder drauf auf den Grill: Klecks Senf dazu, Scheibe Brot oder Kartoffelsalat – schon ist die Mahlzeit komplett. Schneller geht‘s kaum. Leckerer auch nicht. Statt Fleisch werden für die veganen Frikadellen Weizen sowie eine kleine Menge hochwertiges Rapsöl verwendet, welches viele gute Omega-3-Fettsäuren enthält. Ohne Zusatz von Geschmacksverstärkern. Zuckerarm. , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47328-rugenwalder-muhle-rugenwalder-vegane-muhlen-frikad/,https://bilder.kolonial.no/local_products/fa27e607-79f5-45cd-b108-3ecb0abb18c9.jpg?auto=format&fit=max&w=1000&s=a2d3c6f4e6cbcf73f2dbe6ddeb3789dd,1.80 g,14 g,1.50 g,13 g,0.80 g,10 g,860 kJ / 206 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,"Trinkwasser, 15% WEIZENGLUTEN, Zwiebeln, Rapsöl, 9% WEIZENMEHL, Branntweinessig, Kochsalz, Verdickungsmittel: Methylcellulose, Citrusfaser, natürliches Aroma, Gewürzextrakte, Traubenzucker, Gewürze, Maltodextrin, Hefe. Unter Schutzatmosphäre verpackt. Kann Spuren von SOJA enthalten. ",180 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
