,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Eigenschaften,Lieferant,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Hinweis,Kann Spuren enthalten von ,Frischegarantie (mindestens),Ursprungsregion,Lagerung,Natrium,Ursprungsland,Inverkehrbringer,Beschreibung,Size,Delivery days,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Schär anzeigen,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Barilla anzeigen,Abtropfgewicht,Füllmenge,Unser Beitrag für Nachhaltigkeit,4. Anrichten,3. Abschrecken,2. Aufkochen,1. Auspacken,Produktgewicht,Bruttogewicht,FAO-Gebiet Bezeichnung,Drained weight,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Nestlé anzeigen,Einfach ungesättigte Fettsäuren,Informationen zum Angebot,mehrfach ungesättigte Fettsäuren,Alkoholgehalt,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Toblerone anzeigen,.,,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Gille anzeigen,davon Stärke,Zubereitungsempfehlung (gekühltes Produkt),Zubereitungshinweis,Zubereitungsempfehlung,Freshness guarantee,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Alpro anzeigen,Pfand,Storage,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Ben & Jerry's anzeigen
196,Schär Knusperbrot Dunkel,"1,99€","Dunkles Knusperbrot mit Teff und Buchweizen

Glutenfrei, Vegetarisch, Weizenfrei, Laktosefrei , Dr. Schär AG / SPA hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46173-schar-schar-knusperbrot-dunkel/,https://bilder.kolonial.no/local_products/378504c0-9f10-4702-9a01-92c6d085c973.jpg?auto=format&fit=max&w=843&s=286c3c8d02f2b234843fb9fcd22455ae,1.10 g,8.10 g,6 g,0 g,76 g,0.40 g,1.80 g,1544 kJ / 365 kcal,,"Dr. Schär AG / SPA, Winkelau 9, 39014 Burgstall/Postal, Italien","Maismehl, Reismehl, Teffmehl 20%, Buchweizenmehl 10%, Erbsenfaser, Salz, Apfelextrakt
Kann Spuren von SOJA enthalten. LAKTOSEFREI (Laktose < 0,007g/100g) ",125 Gramm,täglich,"Brot, Backwaren & Aufstriche",Glutenfreies Brot & Gebäck,oda,,Sojabohnen.,,Spanien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Schär Ciabatta Rustica,"2,89€","Herzhaftes Mehrkornbrötchen aus Italien zum Fertigbacken

Dieses Produkt wurde unter Schutzatmosphäre verpackt. , Dr. Schär AG / SPA hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/2470-schar-schar-ciabatta-rustica/,https://bilder.kolonial.no/local_products/a06b1a3f-e4f9-426c-850e-13359ec02427.jpg?auto=format&fit=max&w=459&s=8cb5063f8f96eacd6466d0a8ef8dc93b,0.92 g,6.80 g,9.60 g,4.60 g,38 g,1 g,9.40 g,1193 kJ / 285 kcal,,"Dr. Schär AG / SPA, Winkelau 9, 39014 Burgstall/Postal, Italien","Maisstärke, Sauerteig 14% (Reismehl, Wasser), Wasser, Reismehl, Sonnenblumenkerne 7%, Buchweizenmehl
5,5%, Leinsamen 5%, Hefe, pflanzliche Faser (Psyllium, Bambus), Apfelextrakt, Reisstärke, Verdickungsmittel:
Hydroxypropylmethylcellulose; Sonnenblumenöl, Reissirup, Vollreismehl, SOJAPROTEIN, Hirsemehl, natives Ölivenöl extra, Meersalz, Säuerungsmittel: Zitronensäure, Weinsäure (L+). Kann Spuren von LUPINEN, SENF und SESAM enthalten. ",200 Gramm,täglich,"Brot, Backwaren & Aufstriche",Glutenfreies Brot & Gebäck,oda,,"Senf, Sesamsamen, Lupine.",,Italien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Schär Mehrkornbrötchen,"2,79€","Unser beliebtes Körnerbrötchen jetzt mit 80% mehr Körnern und beidseitiger Bestreuung.
Das herzhafte Körnerbrötchen zum Fertigbacken, ideal für eine vollwertige und ballaststoffreiche Ernährung!

unter Schutzatmosphäre verpackt

Glutenfrei, Weizenfrei, Laktosefrei, ohne Konservierungstoffe , Dr. Schär AG / SPA hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/19417-schar-schar-mehrkornbrotchen/,https://bilder.kolonial.no/local_products/2b3b1134-4070-481b-8857-a7bba60cc56f.jpg?auto=format&fit=max&w=568&s=295acaaee194b2986da4cd5176581e04,0.74 g,8.20 g,11 g,2.50 g,35 g,1.50 g,13 g,1303 kJ / 312 kcal,,"Dr. Schär AG / SPA, Winkelau 9, 39014 Burgstall/Postal, Italien","Maisstärke,
Sauerteig 13% (Reismehl, Wasser), Wasser, Sonnenblumenkerne
11%, Leinsamen 9,5%, Reismehl,
Buchweizenmehl 5%, pflanzliche Faser ( Flohsamenschalen Plantago Psyllium, Bambus), Hefe, Apfelextrakt, Reisstärke, Verdickungsmittel:
Hydroxypropylmethylcellulose; Sonnenblumenöl,
Reissirup, Vollreismehl, SOJAPROTEIN, Hirsemehl,
natives Olivenöl extra, Meersalz, natürliches Aroma,
Säuerungsmittel: Weinsäure (L+), Citronensäure. Kann
Spuren von LUPINEN, SESAM und SENF enthalten. ",210 Gramm,täglich,"Brot, Backwaren & Aufstriche",Glutenfreies Brot & Gebäck,oda,,"Senf, Sesamsamen, Lupine.",,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Schär Wrap,"2,99€","Die Lieblingszutaten bunt zusammenwürfeln, rollen und schon ist der Wrap fertig. So vielfältig, dass keiner widerstehen kann.

Dieses Produkt wurde unter Schutzatmosphäre verpackt.

Glutenfrei, Weizenfrei, Laktosefrei, Vegetarisch, Ballaststoffreich , Dr. Schär AG / SPA hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/31292-schar-schar-wrap/,https://bilder.kolonial.no/local_products/c31772b2-36eb-469e-a8b7-2dfd1728e8be.jpg?auto=format&fit=max&w=688&s=bcd01d1da0c756cdf34f69e34808045f,1 g,7.10 g,9.30 g,1.50 g,49 g,3.10 g,6.20 g,1258 kJ / 299 kcal,,"Dr. Schär AG / SPA, Winkelau 9, 39014 Burgstall/Postal, Italien","Reismehl, Wasser, pflanzliche Margarine (Palmfett, Sonnenblumenöl, Wasser, Emulgator: Mono- und
Diglyceride von Speisefettsäuren; Salz), Feuchthaltemittel: Sorbitol; pflanzliche Faser (Psyllium),
SOJAPROTEIN, Reisstärke, Verdickungsmittel: Guarkernmehl, Johannisbrotkernmehl; Salz, Säuerungsmittel:
Weinsäure (L+); Konservierungsstoff: Kaliumsorbat. Kann Spuren von SENF enthalten. ",160 Gramm,täglich,"Brot, Backwaren & Aufstriche",Glutenfreies Brot & Gebäck,oda,,Senf.,,Italien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Wasa Gluten- und Laktosefrei Classic,"3,79€"," , Barilla Deutschland GmbH/ Bereich Wasa hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52001-wasa-wasa-gluten-und-laktosefrei-classic/,https://bilder.kolonial.no/local_products/805b52e1-615c-4913-8136-200de6a76c97.jpg?auto=format&fit=max&w=1000&s=e306b09733214d10a4c510108d30f4ed,1.40 g,4.50 g,6.70 g,5.30 g,74.20 g,1 g,7.80 g,1680 kJ / 398 kcal,,"Barilla Deutschland GmbH/ Bereich Wasa, Wasastraße 10,D-29229 Celle, Deutschland","ZUTATEN: Kartoffelstärke, Reismehl, Amaranthmehl, Rapsöl, Ballaststoffe aus Zuckerrohr, lactosefreies MAGERMILCHPULVER, Zuckersirup, Zucker, Reissauerteigpulver (Reismehl, Wasser), Emulgator (Mono- und Diglyceride von Speisefettsäuren), Hefe, Salz, Verdickungsmittel: Guarkernmehl, Fenchel, Anis, Kümmel.
KANN SPUREN VON SESAMSAMEN ENTHALTEN. ",240 Gramm,täglich,"Brot, Backwaren & Aufstriche",Glutenfreies Brot & Gebäck,oda,,Sesamsamen.,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Harry Bauern Goldkrüstchen z.FB  6Stk,"2,39€","Die Bauern Goldkrüstchen haben eine charakteristisch aufgebrochene Kruste und körnige Bestreuung. Zu Hause werden sie kräftig und goldbraun fertig gebacken. Die besondere Teigaufbereitung bringt die lockere Textur und viel Geschmack.

Unter Schutzatmosphäre verpackt. , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56988-harry-harry-bauern-goldkrustchen-z-fb-6stk/,https://bilder.kolonial.no/local_products/673139c0-74b4-45af-8b95-64f2cce1e5aa.jpg?auto=format&fit=max&w=750&s=c6c2f623d69c6a311a2e6076be117c50,1 g,8.40 g,2.50 g,4.70 g,52 g,0.10 g,0.30 g,1058 kJ / 249 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","WEIZENmehl, Wasser, HartWEIZENgrieß, Hefe, Salz, Invertzuckersirup, Malzextrakt (GERSTENmalz, Wasser), WEIZENmalzmehl, WEIZENeiweiß, Verdickungsmittel Guarkernmehl, Dextrose, Säureregulator Natriumacetate, Emulgator Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren¹, Mehlbehandlungsmittel Ascorbinsäure.
¹ pflanzlicher Ursprung
Kann Spuren von SESAM enthalten. ",480 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,Sesamsamen.,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Harry Bäcker Premium Krüstchen z.FB    6Stk,"2,39€","Premiumkrüstchen zum Fertigbacken, 6 Stück im Beutel , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56990-harry-harry-backer-premium-krustchen-z-fb-6stk/,https://bilder.kolonial.no/local_products/c4a6c999-8021-4595-986e-8df39eab02ce.jpg?auto=format&fit=max&w=750&s=44991906b39b1fc8f13c38ea51587bfe,1 g,8.50 g,3 g,4 g,50 g,0.20 g,1.80 g,1085 kJ / 256 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","WEIZENmehl, Wasser, Hefe, Salz, Verdickungsmittel Guarkernmehl, WEIZENmalzmehl, Malzextrakt (GERSTENmalz, Wasser), Rapsöl, Emulgator E472e*, WEIZENeiweiß, Traubenzucker, Säureregulator Natriumacetate. * pflanzlicher Ursprung. Kann Spuren von Sesam enthalten. ",480 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,Sesamsamen.,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Harry Rosenbroetchen z.Fb 6Stk,"2,39€","Rustikales Weizenbrötchen mit charakteristisch aufbrechender knusprigen Kruste und saftiger Krume in handwerklicher Anmutung.

Unter Schutzatmosphäre verpackt. , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56992-harry-harry-rosenbroetchen-z-fb-6stk/,https://bilder.kolonial.no/local_products/1fe04fff-2156-42b0-b4f9-a9d1634a5baf.jpg?auto=format&fit=max&w=790&s=9bfedf196feb9bb3ef14165613ec5e33,1 g,7.80 g,3.80 g,4 g,46 g,0.60 g,2.30 g,1030 kJ / 244 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","WEIZENmehl 60 %, Wasser, Kartoffelflocken, ROGGENmehl, Hefe, Salz, Verdickungsmittel Guarkernmehl, Invertzuckersirup, WEIZENmalzmehl, Palmfett, Rapsöl, Malzextrakt (GERSTENmalz, Wasser), Emulgator Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren¹, WEIZENeiweiß, Dextrose, Säureregulator Natriumacetate, Mehlbehandlungsmittel Ascorbinsäure.
¹ pflanzlicher Ursprung
Kann Spuren von SESAM enthalten. ",510 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,Sesamsamen.,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Harry Rosenbroetchen kernig zFb 6Stk,"2,39€","Kerniges Weizenbrötchen in handwerklicher Anmutung mit charakteristisch aufbrechender Kruste und mit Sonnenblumenkernen und Leinsamen.

Unter Schutzatmosphäre verpackt. , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56991-harry-harry-rosenbroetchen-kernig-zfb-6stk/,https://bilder.kolonial.no/local_products/7a87bf3b-ba85-40e0-9986-6b2cadfd27f6.jpg?auto=format&fit=max&w=790&s=18784e20f649925d01dbc009ecc8b759,1 g,8.90 g,6.20 g,4.10 g,42 g,0.70 g,6 g,1137 kJ / 270 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","WEIZENmehl 54 %, Wasser, Sonnenblumenkerne 4 %, Leinsamen 4 %, ROGGENmehl, Hefe, Kartoffelflocken, Salz, Verdickungsmittel Guarkernmehl, Invertzuckersirup, WEIZENmalzmehl, Palmfett, Rapsöl, Malzextrakt (GERSTENmalz, Wasser), WEIZENeiweiß, WEIZENröstmalzmehl, Dextrose, Emulgator Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren¹, Säureregulator Natriumacetate, Mehlbehandlungsmittel Ascorbinsäure.
¹ pflanzlicher Ursprung
Kann Spuren von SESAM enthalten. ",510 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,Sesamsamen.,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Harry Vital+Saaten Brötchen zum Aufbacken 4Stk,"2,09€","Ballaststoffreiche Weizenbrötchen mit Ölsaaten und Karotten.

Unter Schutzatmosphäre verpackt. , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56987-harry-harry-vital-saaten-brotchen-zum-aufbacken-4s/,https://bilder.kolonial.no/local_products/442598f1-ed6b-493d-93b1-654333983a96.jpg?auto=format&fit=max&w=886&s=dbd032282fa314a9829879526c89da00,1.10 g,11 g,9.80 g,4.40 g,38 g,0.70 g,5.50 g,1115 kJ / 265 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","WEIZENmehl, Wasser, Leinsamen, Kürbiskerne, getrocknete Karottenstreifen, Sonnenblumenkerne, HAFERflocken, Hefe, SESAM, Salz, WEIZENeiweiß, WEIZENmalzmehl, Verdickungsmittel Guarkernmehl, Malzextrakt (GERSTENmalz, Wasser), Emulgator Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren¹, Dextrose, Säureregulator Natriumacetate, Mehlbehandlungsmittel Ascorbinsäure.
¹ pflanzlichen Ursprungs
Kann Spuren von EI, SOJA und MILCH enthalten. ",360 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,"Eier, Sojabohnen, Milch.",,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Harry Schweizer Weckli z.Fb     4Stk,"1,39€","Schweizer Weckli, Weizenbrötchen zum Fertigbacken; 4Stück pro Beutel , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56989-harry-harry-schweizer-weckli-z-fb-4stk/,https://bilder.kolonial.no/local_products/6304ed50-d3eb-49c8-aa5f-4b0fc0128f50.jpg?auto=format&fit=max&w=1000&s=1119f33ce79caa3c408a99c0d18a7a80,1.66 g,10.80 g,5 g,3.40 g,44 g,0.50 g,1.40 g,1023 kJ / 242 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","WEIZENmehl¹, Wasser, WEIZENeiweiß, Salz, Hefe, Verdickungsmittel Guarkernmehl, HartWEIZENgrieß, WEIZENmalzmehl, Malzextrakt (GERSTENmalz, Wasser), GERSTENmalzmehl, Emulgator Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren², WEIZENröstmalzmehl, ROGGENmehl, Dextrose, Rapsöl, Acerolapulver, Säureregulator Natriumacetate. 
¹ Schweizer Ruchmehl: Enthält noch einen Teil der äußeren Schalenschichten 
² pflanzlicher Ursprung
Kann Spuren von EI, MILCH und SESAM enthalten. ",280 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,"Eier, Milch, Sesamsamen.",,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Sinnack Kaiser-brötchen Weizen 4er,"0,99€","4 Kaiserbrötchen zum Fertigbacken. , Sinnack Backspezialitäten GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46767-sinnack-sinnack-kaiser-brotchen-weizen-4er/,https://bilder.kolonial.no/local_products/41095ce9-77cc-45e5-92bf-7a57be0effe4.jpg?auto=format&fit=max&w=968&s=6530d65987c181929355537076abda19,1.40 g,8.20 g,,2.30 g,2.30 g,2.10 g,2.10 g,1081 kJ / 258 kcal,,"Sinnack Backspezialitäten GmbH & Co. KG, Harderhook 15 , 46395 Bocholt, Deutschland","WEIZENMEHL, Wasser, Hefe, jodiertes Speisesalz (Speisesalz, Kaliumiodat), Dextrose, GERSTENMALZMEHL, GERSTENMALZEXTRAKT, BUTTER 0,7%, Säureregulator Natriumacetate. Unter Schutzatmosphäre verpackt. Kann Spuren von SESAM enthalten. ",220 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Sinnack Weizenbrötchen 6Stk. zum Fertigbacken,"1,09€","6 Brötchen zum Fertigbacken. , Sinnack Backspezialitäten GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47425-sinnack-sinnack-weizenbrotchen-6stk-zum-fertigback/,https://bilder.kolonial.no/local_products/9e97ef1c-8b31-4457-a65f-910ad2e8040e.jpg?auto=format&fit=max&w=457&s=6a978b5d3967704755f0b5130ea07cd7,1.30 g,8.70 g,,4.80 g,4.80 g,1 g,1 g,1077 kJ / 257 kcal,,"Sinnack Backspezialitäten GmbH & Co. KG, Harderhook 15 , 46395 Bocholt, Deutschland","WEIZENMEHL (76,34%), Wasser (17,01%), Hefe (4,43%), jodiertes Speisesalz (Speisesalz, Kaliumiodat) (1,30%), Dextrose (0,84%), GERSTENMALZEXTRAKT (0,08%), Säureregulator Natriumacetate (0,02%). Unter Schutzatmosphäre verpackt. ",360 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Sinnack Baguette 2er zum Aufbacken,"0,75€","Weizenbaguette zum Aufbacken. , Sinnack Backspezialitäten GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47111-sinnack-sinnack-baguette-2er-zum-aufbacken/,https://bilder.kolonial.no/local_products/0d40d53f-07e8-4dcc-bec6-a52d5af5c57a.jpg?auto=format&fit=max&w=383&s=1c4d5844a706ce4cf53710e34391eb3c,1.30 g,8.70 g,,3.10 g,50 g,0.50 g,1 g,1055 kJ / 252 kcal,,"Sinnack Backspezialitäten GmbH & Co. KG, Harderhook 15 , 46395 Bocholt, Deutschland","WEIZENMEHL 73%, Wasser, Hefe, jodiertes Speisesalz (Speisesalz, Kaliumiodat), Dextrose, Säureregulator Natriumacetate. Unter Schutzatmosphäre verpackt. ",300 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Sinnack Mehrkorn-Brötchen 8Stk. zum Fertigbacken,"1,75€","8 Mehrkorn Brötchen zum Fertigbacken. Ohne Konservierungsstoffe. , Sinnack Backspezialitäten GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45201-sinnack-sinnack-mehrkorn-brotchen-8stk-zum-fertigb/,https://bilder.kolonial.no/local_products/4b6698a0-c300-4e60-817c-43d5cf45900e.jpg?auto=format&fit=max&w=722&s=0614997cf1f62e4ba95bc106b408eb52,1.30 g,8.70 g,,1.70 g,,6.70 g,6.70 g,1170 kJ / 280 kcal,,"Sinnack Backspezialitäten GmbH & Co. KG, Harderhook 15 , 46395 Bocholt, Deutschland","WEIZENMEHL 48,08%, Wasser 10,93%, Sauerteig (ROGGENVOLLKORNSCHROT, Wasser) 14,48%, ROGGENFLOCKEN 4,69%, Leinsamen 3,58%, Hafervollkornflocken 3,73%, Hefe 3,46%, Sonnenblumenkerne 2,13%, SESAM 3,28%, Dextrose 1,73%, Sonnenblumenöl 1,73%, jodiertes Speisesalz (Speisesalz, Kaliumiodat) 1,12%, GERSTENMALZEXTRAKT 0,94%, Säureregulator Natriumacetate 0,12%. Bestreuung: Leinsamen, SESAM. Unter Schutzatmosphäre verpackt. ",560 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Sinnack Gemischte Brötchen 8Stk. zum Fertigbacken,"1,29€","8 gemischt bestreute Brötchen zum Fertigbacken. , Sinnack Backspezialitäten GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46383-sinnack-sinnack-gemischte-brotchen-8stk-zum-fertig/,https://bilder.kolonial.no/local_products/d7d1f817-5a8f-4650-81c5-f807c4631211.jpg?auto=format&fit=max&w=722&s=c8f1a4d5fc36d650ea64688758595012,1.30 g,9.10 g,,3.30 g,3.30 g,3.20 g,3.20 g,1105 kJ / 264 kcal,,"Sinnack Backspezialitäten GmbH & Co. KG, Harderhook 15 , 46395 Bocholt, Deutschland","WEIZENMEHL, Wasser, Sonnenblumenkerne, Hefe, SESAM, Mohn, jodiertes Speisesalz (Speisesalz, Kaliumiodat), Sonnenblumenöl, Dexrose, Säureregulator Natriumacetate. Unter Schutzatmosphäre verpackt. ",560 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Sinnack Ciabattabrötchen zum Aufbacken,"1,39€","8 Ciabattabrötchen zum Fertigbacken. Ausgesuchte Roh- und Ballaststoffe. Handwerklich gefertigt - wie frisch vom Bäcker. Frei von Konservierungsstoffen. , Sinnack Backspezialitäten GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44525-sinnack-sinnack-ciabattabrotchen-zum-aufbacken/,https://bilder.kolonial.no/local_products/a630a060-1a75-4bb7-a015-797cb79db82c.jpg?auto=format&fit=max&w=749&s=945803c4f9a6dfba726298bf80a7bbfb,1.30 g,9.50 g,,1.80 g,1.80 g,2 g,2 g,1115 kJ / 266 kcal,,"Sinnack Backspezialitäten GmbH & Co. KG, Harderhook 15 , 46395 Bocholt, Deutschland","WEIZENMEHL (72,03%), Wasser (17,30%), HARTWEIZENGRIESS (4,84%), Hefe (2,79%), jodiertes Speisesalz (Speisesalz, Kaliumiodat) (1,21%), Dextrose (0,84%), Sonnenblumenöl (0,84%), Säureregulator Natriumacetate (0,16%). Unter Schutzatmosphäre verpackt. Kann Spuren von SESAM enthalten. ",560 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Ibis Steinofen-Baguette Korn,"1,49€","Das knusprigste Symbol Frankreichs und die ""Grande Tradition"" französischer Backkunst: das beliebte, original französische Baguette wird im Steinofen gebacken und entfaltet durch die lange Teigruhe seinen besonderen Geschmack. Original französisch, mit Natursauerteig und Meersalz gebacken. , IBIS Backwarenvertriebs GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47430-ibis-ibis-steinofen-baguette-korn/,https://bilder.kolonial.no/local_products/c9cb4440-3089-4b28-8fdc-8f07130dc577.jpg?auto=format&fit=max&w=1000&s=c0cc58c8e42f438ab5ca190e57922a1c,0.86 g,8.60 g,,2.30 g,2.30 g,2.20 g,2.20 g,1073 kJ / 256 kcal,,"IBIS Backwarenvertriebs GmbH, Pascalstraße 14, 52076 Aachen, Deutschland","WEIZENMEHL, Wasser, Sauerteig (WEIZENMEHL, Wasser), 5% Saaten- und Getreidemischung (Leinsaat, Hirse, Sonnenblumenkerne, ROGGENMEHL, geröstetes GERSTENMALZMEHL, geröstetes WEIZENMALZMEHL, HAFERMEHL, WEIZENMEHL, WEIZENMALZMEHL), Backhefe, Meersalz, WEIZENGLUTEN, WEIZENMALZMEHL, Alkohol. Unter Schutzatmosphäre verpackt. Kann Spuren von SESAM enthalten. ",250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,,,Frankreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Ibis Steinofen-Baguette Classic,"1,49€","Das knusprigste Symbol Frankreichs und die ""Grande Tradition"" französischer Backkunst: Das beliebte, original französische Baguette ""Classic"" wird im Steinofen gebacken und entfaltet durch lange Teigruhe seinen besonderen Geschmack. Original französisch, mit Natursauerteig und Meersalz gebacken. , IBIS Backwarenvertriebs GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47282-ibis-ibis-steinofen-baguette-classic/,https://bilder.kolonial.no/local_products/ea243a89-02c0-4845-9e52-8eff38505ecc.jpg?auto=format&fit=max&w=1000&s=3123941355896a89c913d9f1763da08d,1.31 g,7.90 g,,2.10 g,2.10 g,1 g,1 g,1043 kJ / 249 kcal,,"IBIS Backwarenvertriebs GmbH, Pascalstraße 14, 52076 Aachen, Deutschland","WEIZENMEHL, Wasser, Sauerteig (WEIZENMEHL, Wasser), Meersalz, Backhefe, WEIZENGLUTEN, WEIZENMALZMEHL, Alkohol. Unter Schutzatmosphäre verpackt. Kann Spuren von SESAM enthalten. ",250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Aufbackwaren,oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
