,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,fiber,Sugar,carbohydrates,Fat,calorific value,Characteristics,supplier,May contain traces of,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,region of origin,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,Fett,Brennwert,Eigenschaften,Lieferant,Kann Spuren enthalten von ,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,hereof: saturated fatty acids,Size,Delivery days,Product InformationThe supplier has not provided us with detailed information about this product.View all Barilla products,davon gesättigte Fettsäuren,Ursprungsregion,country of origin,Ursprungsland,sodium,Description,drained weight,capacity,Abtropfgewicht,Unser Beitrag für Nachhaltigkeit,4. Anrichten,3. Abschrecken,2. Aufkochen,1. Auspacken,Freshness guarantee (minimum)
10,Every day organic penne,€1.49,"Organic pasta made from durum wheat semolina. , Central trading company ZHG mbH Food has provided the above information.",https://oda.com//de/products/55897-jeden-tag-jeden-tag-bio-penne/,https://bilder.kolonial.no/local_products/de7b44c5-4cc8-467b-be99-7cd03de9acfb.jpg?auto=format&fit=max&w=663&s=5a9e0b4547dadede67486b26fcada9ff,,12g,,3.50g,71g,1.10g,1476kJ / 353kcal,organic product,"Central trading company ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Germany",,"Organic  durum wheat semolina . May contain traces of EGGS , SOY and MUSTARD .         ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Every day organic fusilli,€1.69,"Organic pasta made from durum wheat semolina. , Central trading company ZHG mbH Food has provided the above information.",https://oda.com//de/products/55900-jeden-tag-jeden-tag-bio-fusilli/,https://bilder.kolonial.no/local_products/4a171b7f-67c6-460f-869b-29655e0913b3.jpg?auto=format&fit=max&w=621&s=8bf5a53a2cef270f456d1fdbf5aa5ca8,,12g,,3.50g,71g,1.10g,1476kJ / 353kcal,organic product,"Central trading company ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Germany",,"Organic  durum wheat semolina . May contain traces of EGG, SOYA and MUSTARD .         ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Barilla Spaghettini No. 3,€2.29,"BAR. Classic spaghetti no. 3 500g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/47442-barilla-barilla-spaghettini-no-3/,https://bilder.kolonial.no/local_products/7d19f9d9-ec78-410e-972b-fd2f5d57f6ed.jpg?auto=format&fit=max&w=1000&s=212a66231d370067893d78a6ab3a4211,0.01g,12.80g,3g,3.50g,70.90g,2g,1521kJ / 359kcal,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",soybeans.,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
13,Barilla spaghetti no. 5,€2.25,"BAR. Classic Spaghetti No.5 500g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/34712-barilla-barilla-spaghetti-no-5/,https://bilder.kolonial.no/local_products/0484bfe0-61a1-4598-8e64-60cb01205a9f.jpg?auto=format&fit=max&w=1000&s=599bd5bdf5a3bc2ba1d77c61cc5cd02b,12.80g,3g,3.50g,70.90g,0.50g,1521kJ / 359kcal,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",,Italy,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,,"pasta, rice and cereals",Noodles and pasta,oda,soybeans.,,,,,,,,,,,,,,2g,500 grams,any day,0.01g,,,,,,,,,,,,,,,
14,Barilla Spaghetti No. 7,€2.29,"BAR. Classic Spaghetti No.7 500g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/44848-barilla-barilla-spaghettoni-no-7/,https://bilder.kolonial.no/local_products/0b57fe95-429c-47f2-ae1b-351700af9ca7.jpg?auto=format&fit=max&w=1000&s=2a7f64d4ee8443fa92dbd1de87070e3d,0.01g,12.80g,3g,3.50g,70.90g,2g,1521kJ / 359kcal,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",soybeans.,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
15,Barilla Capellini,€2.29,"BAR. Classic Capellini No.1 , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/1504-barilla-barilla-capellini/,https://bilder.kolonial.no/local_products/4accde8a-c517-4b23-a35e-dbb93e06b74e.jpg?auto=format&fit=max&w=1000&s=5aa53fc9401ec16c347d6afc19ab4760,0.01g,12.80g,3g,3.50g,70.90g,2g,1521kJ / 359kcal,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",soybeans.,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
16,Barilla Macaroni,€2.29,"BAR. Classic Macaroni No.44 500g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/46851-barilla-barilla-maccheroni/,https://bilder.kolonial.no/local_products/50bb47d0-2ce0-475c-b277-5390de18266b.jpg?auto=format&fit=max&w=1000&s=7a7b3bc53f2b512fe41c9dd4aef0d7eb,0.01g,12.50g,3g,3.50g,71.20g,2g,1521kJ / 359kcal,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",soybeans.,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
17,Barilla Gemelli,€2.29,"BAR. Classic Gemelli No. 90 500g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/46094-barilla-barilla-gemelli/,https://bilder.kolonial.no/local_products/74560678-73f1-4eea-9df2-9a659a3ad6bd.jpg?auto=format&fit=max&w=1000&s=e7fb8e5285861a76f155cf5090d052f0,0.01g,12.50g,3g,3.50g,71.20g,2g,1521kJ / 359kcal,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",soybeans.,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
18,Barilla Gobbetti,€2.29,"BAR. Classic Gobetti No. 51 14x500g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/46410-barilla-barilla-gobbetti/,https://bilder.kolonial.no/local_products/3d03388a-75be-4835-a26d-9601ae9c8c65.jpg?auto=format&fit=max&w=1000&s=c2811a8b9e4201bbc9833c5b71e95e21,0.01g,12.50g,3g,3.50g,71.20g,2g,1521kJ / 359kcal,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",soybeans.,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
19,Barilla Tortiglioni,€2.29,"BAR. Classic Tortiglion No. 83 500g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/46663-barilla-barilla-tortiglioni/,https://bilder.kolonial.no/local_products/0df1b10c-662e-4e15-8b7d-cf1b7f17796e.jpg?auto=format&fit=max&w=1000&s=b6dc7f6f67ac8adecf67fff8169205c4,0.01g,12.50g,3g,3.50g,71.20g,2g,1521kJ / 359kcal,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",soybeans.,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
20,Barilla Girandole,€2.29,"BAR. Classic Girandole No.34 500g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/45401-barilla-barilla-girandole/,https://bilder.kolonial.no/local_products/7496fe69-f3ec-490c-831d-ecd0f55287b2.jpg?auto=format&fit=max&w=648&s=6d9e604f30f5b6bcd802ce303afe642e,0.01g,12.50g,3g,3.50g,71.20g,2g,1521kJ / 359kcal,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",soybeans.,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
21,Barilla Mini Penne Rigate,€2.29,"BAR. Classic Penne Rigate Mini 500g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/44370-barilla-barilla-mini-penne-rigate/,https://bilder.kolonial.no/local_products/6737c49e-43fc-4135-be7a-65ae51e31ebf.jpg?auto=format&fit=max&w=658&s=6828f61a96ff4bab903d9690c4d0f0e9,0.01g,12.20g,3g,3.50g,71.50g,2g,1521kJ / 359kcal,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",soybeans.,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
22,Barilla Fusilli,€2.29,"BAR. Classic Fusilli No. 98 500g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/38365-barilla-barilla-fusilli/,https://bilder.kolonial.no/local_products/cda04ff7-32ae-47b8-8ac2-ccabc3f5f265.jpg?auto=format&fit=max&w=852&s=3879723317f80896d26e72825a9efb72,0.01g,12.50g,3g,3.50g,71.20g,2g,1521kJ / 359kcal,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",soybeans.,"DURUM WHEAT semolina , water. May contain traces of soybeans .       ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
23,De Cecco Penne Rigate Tricolore,€3.19,"Belonging to the family of short, ribbed, oblique-cut pasta, penne rigate is one of the most well-known and also one of the most versatile types of pasta. They are perfect for preparing oven dishes and pasta dishes with pork or beef sauces. But they are also excellent with sauces with vegetables and in general - due to their versatility - with all recipes of Mediterranean cuisine such as the classic sauce with tomato, basil, extra virgin olive oil and sprinkled with parmesan. They are traditionally served with the Sugo all'arrabbiata. , De Cecco GmbH has provided the above information.",https://oda.com//de/products/43105-de-cecco-de-cecco-penne-rigate-tricolore/,https://bilder.kolonial.no/local_products/3437b164-b6f4-40cd-9261-03ba8a3c836a.jpg?auto=format&fit=max&w=625&s=b696ba8d953ba242838ad90f0a23b13d,0g,14g,,4.40g,4.40g,1.60g,1498kJ / 358kcal,,"De Cecco GmbH, Zollhof 4, 40221 Dusseldorf, Germany",,"DURUM WHEAT , tomato paste concentrate (4.3%), spinach (3.3%). May contain traces of SOYA .          ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,1.60g,,,,,,,,,,,,,,,,,,
24,De Cecco spaghetti,€2.69,"Spaghetti is so versatile that it can be eaten with any sauce - from fish to meat, from vegetables to cheese. However, they also taste great without a sauce, just with a little extra virgin olive oil and a touch of parmesan. , De Cecco GmbH has provided the above information.",https://oda.com//de/products/42293-de-cecco-de-cecco-spaghetti/,https://bilder.kolonial.no/local_products/68c66a85-2257-4c3c-a624-4754dc13336c.jpg?auto=format&fit=max&w=1000&s=21f20dcc0d73d8a72c0d905f7fba4555,0g,14g,,3.40g,3.40g,1.50g,1490kJ / 356kcal,,"De Cecco GmbH, Zollhof 4, 40221 Dusseldorf, Germany",,Pasta  made from  DURUM WHEAT . May contain SOYA .    ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,1.50g,,,,,,,,,,,,,,,,,,
25,De Cecco Linguine,€2.69,"Linguine are the long pasta par excellence: in the shape of small, flat and narrow tagliatelle, they were created to be served with the traditional pesto. Precisely thanks to the flat section and the slightly convex shape, they are perfect for soaking up sauces and giving them back the full flavor variety. They taste great simply with butter and sage, or with sauces based on tomatoes or vegetables and fresh herbs, and with quick, spicy sauces made with extra virgin olive oil, garlic, chili peppers, anchovies and capers. In addition, they are ideal with fish sauces with shellfish and seafood, as well as with light sauces made with milk cream, mascarpone, soft and processed cheese and with the addition of spices such as saffron, horseradish, , De Cecco GmbH has provided the above information.",https://oda.com//de/products/43328-de-cecco-de-cecco-linguine/,https://bilder.kolonial.no/local_products/9fc02aa5-3875-4654-959b-4c4b21bf2d31.jpg?auto=format&fit=max&w=1000&s=402e677b932583f079a5995856d4d277,0g,14g,,3.40g,3.40g,1.50g,1490kJ / 356kcal,,"De Cecco GmbH, Zollhof 4, 40221 Dusseldorf, Germany",,Pasta  made from  DURUM WHEAT . May contain SOYA .    ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,1.50g,,,,,,,,,,,,,,,,,,
26,De Cecco Spaghettini,€2.69,"Als eine schmackhafte, kleinere Variante der klassischen Spaghetti sind die Spaghettini eine Nudelsorte, die aus Süditalien, insbesondere aus Neapel, stammt. Köstlich und für diese Nudelsorte hervorragend geeignet sind warme oder kalte Saucen, deren Grundlage frische Tomaten, Gemüse oder aromatische Kräuter sind. Auch schnell zubereitete Saucen mit nativem Olivenöl extra, Knoblauch, Peperoncino und Sardellen eignen sich hervorragend. Zudem passen zu den Spaghettini auch Saucen mit Fisch, deren Grundlage Weichtiere und Meeresfrüchte sind. , De Cecco GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43364-de-cecco-de-cecco-spaghettini/,https://bilder.kolonial.no/local_products/b836cdbf-ef57-44ee-ae51-896eb68806f1.jpg?auto=format&fit=max&w=1000&s=b6f2ddf66e3861b5cd604127ab17afec,0g,14g,,3.40g,3.40g,1.50g,1490kJ / 356kcal,,,,,,,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,"De Cecco GmbH, Zollhof 4, 40221 Dusseldorf, Germany",,Teigwaren aus HARTWEIZENGRIEß. Kann SOJA enthalten. ,500 Gramm,täglich,1.50g,,,,,,,,,,,,,,,,,,
27,De Cecco Penne Rigate,€2.69,"Belonging to the family of short, ribbed, oblique-cut pasta, penne rigate is one of the most well-known and also one of the most versatile types of pasta. Penne Rigate are perfect for preparing oven dishes and pasta dishes with pork or beef sauces. But they are also excellent with sauces with vegetables and in general - due to their versatility - with all recipes of Mediterranean cuisine such as the classic sauce with tomato, basil, extra virgin olive oil and sprinkled with parmesan. They are traditionally served with the Sugo all'arrabbiata. , De Cecco GmbH has provided the above information.",https://oda.com//de/products/44589-de-cecco-de-cecco-penne-rigate/,https://bilder.kolonial.no/local_products/0f8f4e8f-7eac-4261-84d7-616d535a811b.jpg?auto=format&fit=max&w=800&s=6218885f45e8170821f70667be81e746,0g,14g,,3.40g,3.40g,1.50g,1490kJ / 356kcal,,"De Cecco GmbH, Zollhof 4, 40221 Dusseldorf, Germany",,Pasta  made from  DURUM WHEAT . May contain SOYA .    ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,1.50g,,,,,,,,,,,,,,,,,,
28,De Cecco Fusilli,€2.69,"They come from the Campania region and belong to the family of particularly short, straight-cut pasta. In the past, fusilli were made by hand according to a method handed down from mother to daughter. A spaghetti had to be wrapped around a knitting needle particularly quickly and skilfully. The dexterity required for this activity is strongly reminiscent of spinning machines and the term ""fusillo"" actually comes from ""fuso"", the working instrument typical of spinning machines. They go well with both meat sauces and fish sauces, as well as sauces made with ricotta. They can also be served with vegetable sauces prepared with a tomato sauce and with the addition of peppers, aubergines, courgettes, olives and capers. , F.lli De Cecco di Filippo Fara S.Martino SpA has provided the above information.",https://oda.com//de/products/46799-de-cecco-de-cecco-fusilli/,https://bilder.kolonial.no/local_products/9b3af6a5-9c24-4496-ac39-14ab1fd2cdab.jpg?auto=format&fit=max&w=800&s=c98b736361549f2ff901e416381b0e26,0g,14g,2.90g,3.40g,3.40g,1.50g,1490kJ / 356kcal,,"F.lli De Cecco di Filippo Fara S.Martino SpA, Via F. De Cecco, 66015 Fara San Martino CH, Italy",,DUMMY WHEAT . May contain SOYA .    ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,1.50g,,,,,,,,,,,,,,,,,,
29,De Cecco Tortiglioni,€2.69,"Pasta made from durum wheat semolina. , De Cecco GmbH has provided the above information.",https://oda.com//de/products/44131-de-cecco-de-cecco-tortiglioni/,https://bilder.kolonial.no/local_products/e3c15aea-2c74-41f6-b7ad-f39924395397.jpg?auto=format&fit=max&w=800&s=f5a56d6ee1c6cfd6a0668ef489e5a53a,0g,14g,,3.40g,3.40g,1.50g,1490kJ / 356kcal,,"De Cecco GmbH, Zollhof 4, 40221 Dusseldorf, Germany",,Pasta  made from  DURUM WHEAT . May contain SOYA .    ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,1.50g,,,,,,,,,,,,,,,,,,
30,De Cecco Puntalette,€2.69,"Pasta made from durum wheat semolina. , De Cecco GmbH has provided the above information.",https://oda.com//de/products/44371-de-cecco-de-cecco-puntalette/,https://bilder.kolonial.no/local_products/a5345513-eeec-431e-b430-fc87d55d0a3a.jpg?auto=format&fit=max&w=800&s=4b34d3bb3986e3a610cf2cbf2a311027,0g,14g,,3.40g,3.40g,1.50g,1490kJ / 356kcal,,"De Cecco GmbH, Zollhof 4, 40221 Dusseldorf, Germany",,DUMMY WHEAT . May contain EGGS and SOY .      ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,1.50g,,,,,,,,,,,,,,,,,,
