0,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,Protein,fiber,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,supplier,Region of origin,deposit,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Freshness guarantee (minimum),Refrigerated (+2 to +7°C) best before,Characteristics,Country of origin,Information about the offer,storage,May contain traces of,drained weight,of it strength,Description,Note on the freshness guarantee,Monounsaturated fatty acids,Insert currywurst slices,gross weight,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Notice,thereof polyols,Polyunsaturated fatty acids
10,10,Innocent Orange & Mango,"3,29€","innocent Direct Juice Orange & Mango 900ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/46999-innocent-innocent-orange-mango-einweg-mit-pfand/,https://bilder.kolonial.no/local_products/1f5d66d3-21c4-4ced-be19-259b1d35b4e7.jpg?auto=format&fit=max&w=516&s=41f7d7fcb2fadc6261775c3665ddf3c0,0.01 g,0.70 g,1.10 g,8.40 g,9.40 g,0.10 g,0.50 g,181 kJ / 43 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €",Orange Juice (86%) and Mango Puree (14%).,900 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
11,11,Innocent Clementine and Mandarin Direct Juice,"3,29€","innocent Direct Juice Clementine and Mandarine 900ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/58322-innocent-innocent-clementine-mandarine-direktsaft/,https://bilder.kolonial.no/local_products/176fa9d5-5a06-4a0c-bde6-1bacb0a78570.jpg?auto=format&fit=max&w=1000&s=95587302e1efec6144eeaa522746cffd,0.01 g,0.70 g,in,9.10 g,11 g,0.10 g,0.50 g,199 kJ / 47 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €",clementine juice (80%) and tangerine juice (20%).,"0,90 Liter",daily,Fast kitchen,Fresh juices and smoothies,oda,6 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
12,12,Innocent Gelber Multi Mix,"3,29€","innocent Direct Juice Multi Mix yellow 900ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/42928-innocent-innocent-gelber-multi-mix-einweg-mit-pfan/,https://bilder.kolonial.no/local_products/1d130052-fcf6-4422-8b3c-b72cc0e34dba.jpg?auto=format&fit=max&w=516&s=71788576428d377fe89870f971bb5525,0.01 g,0.50 g,0.50 g,8.90 g,10 g,0.10 g,0.50 g,172 kJ / 41 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Apple juice (51%), orange juice (35%), pineapple juice (11.5%), mango puree (1.5%), passion fruit puree (1%) and vitamin C.",900 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,6 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
13,13,Innocent Multi Mix Saft,"3,29€","innocent Direct Juice Multi Mix orange 900ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/45893-innocent-innocent-multi-mix-saft-einweg-mit-pfand/,https://bilder.kolonial.no/local_products/12d349bf-ce19-4089-826a-b67d9bb56e01.jpg?auto=format&fit=max&w=516&s=6bebb966583b7d88e6fa52fabe9b9a6d,0.01 g,0.50 g,in,9.50 g,11 g,0.10 g,0.50 g,185 kJ / 44 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Orange Juice (35%), Apple Juice (28%), White Grape Juice (15%), Pineapple Juice (7.6%), Carrot Juice (4.5%), Peach Puree (3.6%), Mango Puree (1.8%) , pear puree (1.7%), passion fruit puree (1.7%), lemon juice (1%) and vitamin C.",900 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,4 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
14,14,Innocent Apple Kiwi Cucumber Juice,"3,29€","innocent Direct Juice Apple, Kiwi & Cucumber 900ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/42445-innocent-innocent-apfel-kiwi-gurke-saft-einweg-mit/,https://bilder.kolonial.no/local_products/1a9adb9b-f1d4-4cdf-afef-52b21732522e.jpg?auto=format&fit=max&w=335&s=f4548c01d34b0f11e1bbe9606def2e66,0.01 g,0.50 g,in,8.70 g,9.80 g,0.10 g,0.50 g,167 kJ / 39 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Apple Juice (83%), Kiwi Puree (8.5%), Cucumber Puree (7.1%), Lemon Juice, Lime Juice (0.57%), Spirulina Extract, Safflower Extract and Vitamin C.",900 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
15,15,Innocent Apple & Berry Juice,"3,29€","innocent Direct Juice Apple & Berries 900ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/47103-innocent-innocent-apfel-beeren-saft-einweg-mit-pfa/,https://bilder.kolonial.no/local_products/5ff9e7cd-8ce5-4f7a-aaa2-cef8df85b7fa.jpg?auto=format&fit=max&w=516&s=8874d65591317e12ca5a92f3cabc004e,0.01 g,0.50 g,1.20 g,9.60 g,10 g,0.10 g,0.50 g,179 kJ / 42 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Apple Juice (69%), White Grape Juice, Strawberry Puree (12%), Blackcurrant Juice (4%) and Vitamin C.",900 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
16,16,"Innocent Wild Blueberry, Currant and Cranberry","3,29€","innocent direct juice blueberry, apple, currant and cranberry juice 900ml, innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/46451-innocent-innocent-wilde-blaubeere-johannisbeere-cr/,https://bilder.kolonial.no/local_products/050aa562-ab83-4935-b95a-58411e62e103.jpg?auto=format&fit=max&w=516&s=90bfa1680b0852a62fe89120a3bef1ea,0.01 g,0.50 g,in,10 g,11 g,0.10 g,0.50 g,192 kJ / 45 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Apple Juice (73%), White Grape Juice (9.6%), Blackcurrant Juice (6.7%), Pear Puree (4.8%), Blueberry Puree (4.3%), Cranberry Puree (1.4%) and Vitamin C .",900 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,6 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
17,17,BIO COMPANY Bio Smoothie 1,"1,89€","Apple-based smoothie with fruity-sweet mango, refreshing guanabana and moringa and creamy banana pulp. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52508-bio-company-bio-company-bio-smoothie-1/,https://bilder.kolonial.no/local_products/8b21ce56-004e-4c04-b49e-b3fc5b85cd19.jpg?auto=format&fit=max&w=450&s=97a2b0d14d7c288f6a1931849b14858f,0.01 g,0.50 g,in,13 g,14 g,in,0.50 g,252 kJ / 61 kcal,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",in,in,"Apple juice* 50%, mango pulp* 18%, banana pulp* 15%, apple pulp* 11%, guanabana pulp* 5%, moringa powder* 0.2%.",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
18,18,BIO COMPANY Bio Smoothie 2,"1,89€",", BIO COMPANY has provided the above information.",https://oda.com//de/products/52507-bio-company-bio-company-bio-smoothie-2/,https://bilder.kolonial.no/local_products/9df51fcb-df10-4e12-937f-0a07a2e2f990.jpg?auto=format&fit=max&w=450&s=cad155d31c40db67b6da425b350806f7,0.01 g,0.50 g,in,13 g,14 g,0.10 g,0.50 g,252 kJ / 61 kcal,"BIO COMPANY, Rheinstrasse 45-46, 12161 Berlin, Germany",in,in,"Apple juice* 50%, mango pulp* 18%, banana pulp* 15%, apple pulp* 11%, guanabana pulp* 5%, moringa powder* 0.2%.

* from controlled organic cultivation",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
19,19,BIO COMPANY Bio Smoothie 3,"1,89€","Creamy smoothie with aromatic strawberry pulp, piquant-sweet acai pulp and gooseberry juice. Based on banana and apple. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52506-bio-company-bio-company-bio-smoothie-3/,https://bilder.kolonial.no/local_products/4648bf0c-08ad-4384-9af5-0582546d84db.jpg?auto=format&fit=max&w=450&s=eae6ed9941ef7a1a1aaaa0c8742c11d8,0.01 g,0.50 g,in,12 g,12 g,in,0.50 g,244 kJ / 59 kcal,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",in,in,"Apple juice* 39%, apple pulp* 20%, banana pulp* 19%, gooseberry juice* 9%, strawberry pulp* 8%, acai pulp* 5%",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
20,20,BIO COMPANY Bio Smoothie 4,"1,89€","Fruity-sweet smoothie based on orange and apple - with delicate peach, fresh carrot, tangy lemon and tangy guarana. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52505-bio-company-bio-company-bio-smoothie-4/,https://bilder.kolonial.no/local_products/34917c13-2e72-4e08-8231-a025deb14217.jpg?auto=format&fit=max&w=450&s=96b1f8c5d208a3d31c0b3df4aa3ef457,0.01 g,0.60 g,in,9 g,9.50 g,in,0.50 g,188 kJ / 45 kcal,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",in,in,"Orange juice* 34%, apple pulp* 33%, peach pulp* 20%, carrot juice* (carrot juice*, lemon juice*) 12%, guarana extract* 0.1%.",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
21,21,Innocent Smoothie Magnificent Mango,"1,99€","innocent Mango, Maracuja & Apfel 250ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/47410-innocent-innocent-smoothie-magnificent-mango-einwe/,https://bilder.kolonial.no/local_products/639b10df-3280-4b5d-aa73-d53fdf79dfe9.jpg?auto=format&fit=max&w=516&s=3c8d0f966973c2430b6c70e12871c226,0.01 g,0.50 g,1.40 g,11 g,12 g,0.10 g,0.50 g,216 kJ / 51 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Apple juice (51%), mango puree (16%), banana puree, orange juice, passion fruit puree (3%), peach puree and lime juice.",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
22,22,"Innocent Smoothie Plus ""Energise","1,99€","Mixture of pureed fruit, fruit and vegetable juice (direct juice), linseed and guarana extract, enriched with vitamins. , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/43037-innocent-innocent-smoothie-plus-energise-einweg-mi/,https://bilder.kolonial.no/local_products/72997d44-460c-48ee-a1c1-ecaa65ed78e8.jpg?auto=format&fit=max&w=1000&s=467008004c1ee279802791c5bdba7e2e,0.01 g,0.60 g,0.80 g,10 g,12 g,0.10 g,0.50 g,221 kJ / 52 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Apple juice (50%), red and white grape juice (17%), banana puree (14%), strawberry puree (10%), black currant juice (3.4%), sour cherry puree (3.3%), beetroot juice ( 1.5%), ground flaxseed (0.56%), vitamins (vitamin B1, B2, B6, C, E, niacin), guarana extract (0.01%).",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
23,23,Innocent Smoothie Berry Good,"1,99€","innocent Currant, Strawberry & Apple 250ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/45104-innocent-innocent-smoothie-berry-good-einweg-mit-p/,https://bilder.kolonial.no/local_products/c7e846c8-49b4-451b-bc17-c67fc7714964.jpg?auto=format&fit=max&w=516&s=cf19618d016015d7cd3a561b9e72affc,0.01 g,0.60 g,1.10 g,10 g,12 g,0.10 g,0.50 g,225 kJ / 53 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Apple Juice (41%), Banana Puree, White Grape Juice, Blackcurrant Puree (5.9%), Strawberry Puree (5.9%), Orange Juice, Blackberry Puree (5%) and Lime Juice.",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
24,24,Innocent Smoothie Kiwi Wonder,"1,99€","innocent Kiwi, Apfel & Limette 250ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/44461-innocent-innocent-smoothie-kiwi-wonder-einweg-mit/,https://bilder.kolonial.no/local_products/625144e2-4a9e-4303-9c7c-83e90e86e5e0.jpg?auto=format&fit=max&w=516&s=d92063b4ddae5ed1c48229ff3ce05a41,0.01 g,1.10 g,1.80 g,10 g,12 g,0.10 g,0.50 g,242 kJ / 57 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Apple Juice (47%), Pineapple Juice, Kiwi Puree (16%), White Grape Juice, Lime Juice (1.2%), Spirulina Extract and Safflower Extract.",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
25,25,"Innocent Smoothie Coco & Co - Ananas, Banane, Kokosnuss","1,99€","innocent Pineapple, Banana & Coconut 250ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/43877-innocent-innocent-smoothie-coco-co-ananas-banane-k/,https://bilder.kolonial.no/local_products/fc943996-1c6d-4ec5-82dd-115be7352c7d.jpg?auto=format&fit=max&w=516&s=c40d673e719d6c4f814e56a002b08de5,0.01 g,0.80 g,1.10 g,12 g,14 g,0.60 g,0.70 g,280 kJ / 66 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Pineapple Juice (39%), Banana Puree (37%), Apple Juice, Orange Juice, Coconut Milk (3.3%) and Lemon Juice.",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
26,26,"Innocent Smoothie Pineapple, Strawberry & Apple","1,99€","innocent Pineapple, Strawberry & Apple 250ml , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/43735-innocent-innocent-smoothie-ananas-erdbeere-apfel-e/,https://bilder.kolonial.no/local_products/2c5bb575-cd53-42af-aeeb-9ba10809fdb8.jpg?auto=format&fit=max&w=1000&s=76d54dbf0ddb0b4cd46ae4fef07f23cb,0.01 g,0.60 g,1 g,11 g,12 g,0.10 g,0.50 g,222 kJ / 52 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Apple Juice (55%), Banana Puree, Strawberry Puree (8.8%), Pineapple Juice (7.5%), White Carrot Juice, Passion Fruit Puree, Orange Juice, Beetroot Juice and Sweet Potato Extract.",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
27,27,Innocent Smoothie Plus Antioxidant,"2,29€","Mixture of pureed fruit and vegetables, fruit juice (direct juice), linseed and spirulina & plant extracts, enriched with vitamins.
Contains naturally occurring sugars. , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/42803-innocent-innocent-smoothie-plus-antioxidant-einweg/,https://bilder.kolonial.no/local_products/59a28655-1389-48e6-aa36-478f6775b819.jpg?auto=format&fit=max&w=1000&s=0046828a8614ab5137dd16806dc3f0c4,0.01 g,0.50 g,1.10 g,11 g,13 g,0.10 g,0.50 g,230 kJ / 54 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €","Apple Juice (62%), White Grape Juice (11%), Banana Puree (10%), Mango Puree (7.3%), Kiwi Puree (6.7%), Cucumber Puree (1.5%), Ground Flaxseed (0.6% ), spirulina extract (0.43%), lime juice (0.14%), safflower extract (0.11%), matcha green tea extract (0.05%) and vitamins (vitamin B1, B2, B6 , C, E, niacin).",250 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
28,28,BIO COMPANY organic coconut water from coconut water concentrate,"3,59€","Refreshing thirst quencher with a mild, slightly sweet taste, best enjoyed chilled - natural and refreshing. Made from coconut water concentrate. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52642-bio-company-bio-company-bio-kokoswasser-aus-kokosn/,https://bilder.kolonial.no/local_products/a62e50e1-63cc-480c-a4bb-4154bc10677d.jpg?auto=format&fit=max&w=1000&s=d7824afd0ce6168b3ffd506d099f67aa,0.26 g,0.70 g,in,2.60 g,3.70 g,in,0 g,79 kJ / 19 kcal,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",Deutschland,in,100% coconut water from coconut water concentrate*,1 Liter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
29,29,BIO COMPANY organic coconut water from coconut water concentrate,"1,59€","Refreshing thirst quencher with a mild, slightly sweet taste, best enjoyed chilled - perfect for on the go. Made from coconut water concentrate. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52641-bio-company-bio-company-bio-kokoswasser-aus-kokosn/,https://bilder.kolonial.no/local_products/e341e317-7422-45c5-b2d1-677f571c3e66.jpg?auto=format&fit=max&w=1000&s=775e9981eb75370c358182435703e32b,0.26 g,0.70 g,in,2.60 g,3.70 g,in,0 g,79 kJ / 19 kcal,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",Deutschland,in,100% coconut water from coconut water concentrate*,330 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
