,Unnamed: 0.1,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Unnamed: 6,country of origin,commercial class,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Country of origin,Trade class,Contents,Possible delivery times,Weight,Characteristics,supplier,Information about the offer,region,supplier,Region of origin,region of origin,variety,Quality,Description,trademark,trade class,mixing,Characteristics,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,Ingredients/Ingredients,Freshness guarantee (minimum),Salt,Protein,fiber,Zucker,carbohydrates,hereof: saturated fatty acids,Fett,calorific value,Ingredients/Ingredients,Freshness guarantee (minimum),fiber,Information about the offer,May contain traces of,May contain traces of
25,25,25,mini bananas,€1.29," , No detailed information was provided about this product.",https://oda.com//de/products/26815-mini-bananen/,https://bilder.kolonial.no/produkter/a852eee7-caeb-49f4-9844-178af39c4a6c.jpg?auto=format&fit=max&w=1000&s=eb95a1dfbef3157ecd53452e1ba318a5,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Ecuador,,250 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,26,Avocados Hass pre-ripened,€1.69," , No detailed information was provided about this product.",https://oda.com//de/products/54121-avocados-hass-vorgereift-mind-220g/,https://bilder.kolonial.no/local_products/e3930b4a-799c-4a01-90b4-30703522aff9.jpg?auto=format&fit=max&w=600&s=b2cc9ba59cc58880d22ab24385a24e9e,"Für die Angaben wird keine Haftung übernommen. Bitte beachten Sie die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich. Das Produktdesign kann von der Abbildung abweichen.",,,,,Fruit Vegetable,Fruit,oda,"Morokko, Kolumbien, Dominikanische Republik, Spanien oder Mexiko.",I,1 Stück,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,27,juice oranges,€2.99," , No detailed information was provided about this product.",https://oda.com//de/products/55539-saftorangen/,https://bilder.kolonial.no/local_products/cce75818-cffc-42d5-8923-96c2faec9c9a.jpg?auto=format&fit=max&w=1000&s=ace1c47331f3b02e9d9dc7f786627b14,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Spain,I,1.50 kilograms,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,28,Apple Wellant,€2.79," , No detailed information was provided about this product.",https://oda.com//de/products/56711-apfel-wellant-6-stuck/,https://bilder.kolonial.no/local_products/e17fb975-f147-41b7-b1f3-aa32b5f6481a.jpg?auto=format&fit=max&w=1000&s=600bdbb3bffc0fc8e142203e025922bb,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Germany,I,1 kilogram,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,Hate avocados online,€2.99," , No detailed information was provided about this product.",https://oda.com//de/products/54120-avocados-hass-im-netz-700-g/,https://bilder.kolonial.no/local_products/6c90aa01-3553-4624-b0ec-7f51b648f000.jpg?auto=format&fit=max&w=250&s=742533df17fa81d7ced61899278c3cb8,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Dominican Republic, Spain or Peru",I,700 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,Figs (fresh) 4 pieces,€3.99," , No detailed information was provided about this product.",https://oda.com//de/products/54756-feigen-frisch-4-stuck/,https://bilder.kolonial.no/local_products/69bb01c9-105d-4589-8973-cae34543e426.jpg?auto=format&fit=max&w=1000&s=85314632a2ebd4ffd92b6b2a0eba0e09,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Brazil, Peru",I,1 pack,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,31,apple miss,€2.29," , No detailed information was provided about this product.",https://oda.com//de/products/56712-apfel-fraulein-6-stuck/,https://bilder.kolonial.no/local_products/3f89b46c-005e-48a9-9c21-037a87455782.png?auto=format&fit=max&w=1000&s=de577c2f3a61dc43a4df3b7026647783,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Germany,I,1 kilogram,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,32,pomegranate,€1.79," , No detailed information was provided about this product.",https://oda.com//de/products/54757-granatapfel/,https://bilder.kolonial.no/local_products/1850785a-bcdb-41bd-addd-dd4aac27ba7d.jpg?auto=format&fit=max&w=1000&s=9992c1baf1ee9b3f8c156fef1c6c5e42,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Spain, Peru, Türkiye, Israel or India",I,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,33,apple red,€1.89," , No detailed information was provided about this product.",https://oda.com//de/products/56857-apfel-rot-beutel/,https://bilder.kolonial.no/local_products/704a2cb1-062f-4064-921b-3da113dc75ea.jpg?auto=format&fit=max&w=987&s=0f3c10439d8e163b23e560250ec2e211,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Germany,I,2 kilograms,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,34,Physalis mit Blatt,"1,39€"," , Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.",https://oda.com//de/products/54767-physalis-mit-blatt/,https://bilder.kolonial.no/local_products/19e93cf2-d59f-456b-8885-4afc63e166a8.jpg?auto=format&fit=max&w=1000&s=25a939d2c1fae12c3c11935ff291f070,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Colombia,,,,Fruit Vegetable,Fruit,oda,,I,100 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,35,Lemons,€1.11," , No detailed information was provided about this product.",https://oda.com//de/products/55542-zitronen/,https://bilder.kolonial.no/local_products/18dee04a-7f89-44f8-a49a-9f7617f9a6a6.jpg?auto=format&fit=max&w=1000&s=5f880d5ab856123f98cefb3e4f25773f,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Spain,I,500 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,36,organic lemons,€1.79," , No detailed information was provided about this product.",https://oda.com//de/products/54466-bio-zitronen/,https://bilder.kolonial.no/local_products/b7084d42-c7c6-4906-a878-5cee624a657b.jpg?auto=format&fit=max&w=1000&s=fa651c4a3ef9b6eb9a4b36bb50af9ae1,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Spain, Italy, Greece, Peru, Chile",II,500 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,37,Physalis without leaf,€2.49," , No detailed information was provided about this product.",https://oda.com//de/products/54772-physalis-ohne-blatt/,https://bilder.kolonial.no/local_products/e5590312-96fe-4e11-b42a-893adc304285.jpg?auto=format&fit=max&w=1000&s=9a36fbfe588a9acd0058f6fd6f12cb85,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Colombia,,125 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,,not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,38,Organic Demeter Apple Topaz,€2.39," , No detailed information was provided about this product.",https://oda.com//de/products/60881-bio-demeter-apfel-topaz-4-stuck/,https://bilder.kolonial.no/local_products/d6474f4a-5124-4b23-9f22-0920036a4219.jpg?auto=format&fit=max&w=689&s=38d621b25eedc91372e5b333faef3858,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Germany,II,500 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,39,Organic Demeter Lemon,€0.89," , No detailed information was provided about this product.",https://oda.com//de/products/54726-bio-demeter-zitrone-ca-150g/,https://bilder.kolonial.no/local_products/035c8c87-ab6d-467e-aa90-8f78d2415353.jpg?auto=format&fit=max&w=1000&s=91656560529f2961342747e749175d3a,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Italy,II,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,Maximum 20 per person. The offer is valid until April 30th and while stocks last. Please note that discounts on products are not reserved when you add them to your shopping cart. They only apply once you have completed the payment process.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,40,coconut,€1.79," , No detailed information was provided about this product.",https://oda.com//de/products/56429-kokosnuss/,https://bilder.kolonial.no/local_products/ac12b69e-fc87-4f6a-bbd5-70b8bab4433f.jpg?auto=format&fit=max&w=1000&s=49f6682c77860c556a2dee400689e874,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Ivory Coast,I,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,41,Organic apple ELSTAR,€2.29," , No detailed information was provided about this product.",https://oda.com//de/products/56713-bio-apfel-elstar-4-stuck/,https://bilder.kolonial.no/local_products/5f21c1f3-8b31-4115-9056-34171242b317.jpg?auto=format&fit=max&w=1000&s=aeb9a1ead2906dd4e1d715a2d9a66cde,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Germany,II,550 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,42,Apple BRAEBURN,€2.29," , No detailed information was provided about this product.",https://oda.com//de/products/55990-werder-frucht-so-nah-so-gut-apfel-braeburn-4-stuck/,https://bilder.kolonial.no/local_products/af13ae00-21f6-4658-89b4-02683bd36949.JPG?auto=format&fit=max&w=1000&s=6affa148922e496696d9e06bcfd753c9,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Germany,I,1 kilogram,daily,Fruit Vegetable,Fruit,oda,,,,,,,Werder Frucht GmbH,,Brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,43,"Organic dates Medjoul, with stone",€3.29," , No detailed information was provided about this product.",https://oda.com//de/products/54494-bio-datteln-medjoul-mit-stein/,https://bilder.kolonial.no/local_products/1b60e665-653b-4825-924a-85ffbd8d7324.jpg?auto=format&fit=max&w=1000&s=a6ed851ce77da1e245110f620bc809e7,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","United States, Israel",,150 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,44,Apple ELSTAR,€2.29," , No detailed information was provided about this product.",https://oda.com//de/products/56010-werder-frucht-so-nah-so-gut-apfel-elstar-6-stuck/,https://bilder.kolonial.no/local_products/52124125-8624-4fdb-8993-7df2110bc9e5.JPG?auto=format&fit=max&w=895&s=945e44b5ee9dd380b7d6a356ccab5c8b,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Germany,I,1 kilogram,daily,Fruit Vegetable,Fruit,oda,,,,,,,Werder Frucht GmbH,,Brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,45,Apple BRAEBURN,€2.99," , No detailed information was provided about this product.",https://oda.com//de/products/55992-werder-frucht-so-nah-so-gut-apfel-braeburn-beutel/,https://bilder.kolonial.no/local_products/c6449501-ea8d-456d-84a5-c3db3f97049a.JPG?auto=format&fit=max&w=609&s=d687c6b5d223b2449b459c335e5072ab,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Germany,I,2 kilograms,daily,Fruit Vegetable,Fruit,oda,,,,,,,Werder Frucht GmbH,,Brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,46,"Datteln Deglet Nour, entsteint","1,49€"," , Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.",https://oda.com//de/products/56279-datteln-deglet-nour-entsteint/,https://bilder.kolonial.no/local_products/1d0b2504-afb6-4d5c-883c-6fa50648dea0.png?auto=format&fit=max&w=750&s=9406bff8525d92b6d9bb287779cc625e,,,,,,Fruit Vegetable,Fruit,oda,,,200 Gramm,täglich,,,,,,KÖLLA GmbH & Co KG,Tunesien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
