,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,storage,Characteristics,supplier,May contain traces of,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Salt,Protein,Sugar,carbohydrates,davon gesättigte Fatsäuren,Fat,calorific value,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Insert currywurst slices,gross weight,supplier,region of origin,May contain traces of,Bundesland,Herkunftsland,Haltungsstufe,Frischegarantie (mindestens),Beschreibung,Variable weight,Freshness guarantee (minimum),Description,Variables Gewicht,Verbrauchshinweis,Verpackungshinweis,Besonderheit,country of origin,posture level,storage,Characteristics,davon Stärke,mehrfach ungesättigte Fatsäuren,Einfach ungesättigte Fatsäuren,consumption note,Packing Notice,*,fiber,of it strength,thereof polyols,Polyunsaturated fatty acids,Monounsaturated fatty acids,Ursprungsland,Ballaststoffe,davon Polyole,Information about the offer,*Haltungsstufe,Zubereitungshinweis,Informationen zum Angebot,Preparation note,Zubereitungsempfehlung (gekühltes Produkt),Preparation recommendation (chilled product),Zubereitungsempfehlung,drained weight,sodium,Notice,Natrium,Backofen,Grill,"Bratpfanne, Pfanne",Zubereitungsempfehlungen,Herkunftsland der Aquakultur/Binnenfischerei,Lateinischer Name,Hinweis,Country of origin of aquaculture/inland fisheries,Inverkehrbringer,Abtropfgewicht,Latin name,Verbraucherhinweise,Hinweis zur Frischegarantie,Note on the freshness guarantee
107,Pork neck steak from Brandenburg,€4.19,"Regional geschlachtet - kürzeste Transportwege!
Wir garantieren, das Schweine aus unserem Programm “Original Brandenburg” auch in der Region geschlachtet
werden. Die Transportwege vom landwirtschaftlichen Betrieb zur Schlachtung liegen garantiert unter 200 Kilometern.
Der Prozess Fleischqualität wird im Schlachtbetrieb unseres Vertragspartners VION in Perleberg von der Entladung, dem Zutrieb, der Betäubung und dem Schlacht - und Kühlprozess hervorragend beherrscht.

Das Ziel: Kreislaufwirtschaft!
80 Prozent der Anteile an Futtermitteln werden auf den eigenen Ackerflächen oder in der direkten Nachbarschaft erzeugt.
Unsere Partnerbetriebe haben einen Tierbesatz von maximal 2 GV pro Hektar und erfüllen damit die Anforderungen aus
dem Klimaschutzplan Deutschlands.
Die Verwertung der Dungreste auf den eigenen Ackerflächen als Nährstoffe für die Feldfrüchte stellt die gewünschte Kreislaufwirtschaft sicher. Zukünftig soll auf Importsoja verzichtet werden.

Damit sind nicht nur qualitative Aspekte für den Tiertransport und die Produktfrische abbildbar. Vielmehr findet eine deutliche
Verbesserung des CO2 – Fußabdruckes statt. Die Nutzung regenerativer Energien am Standort Britz ergänzt die 
 umweltbewusste Ausrichtung des Konzeptes Eberswalder - Original Brandenburg. , EFG Eberswalder Fleisch GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56480-original-brandenburg-schweine-nackensteak-aus-bran/,https://bilder.kolonial.no/local_products/6cb7dd8d-068b-4e40-8d2a-29e323403a76.jpg?auto=format&fit=max&w=1000&s=91cc5e03448fa212b64eb39cb43ab982,,,,,,13 g,787 kJ / 189 kcal,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,EFG Eberswalder Fleisch GmbH,,,,,"Meat, sausage & fish",Meat & meat alternatives,oda,0.15 g,18 g,,,5.20 g,,,,,400 Gramm,täglich,,,,,,Brandenburg,Deutschland,"Stufe ② Stallhaltung Plus: Mit dem blauen Label der Stufe 2 wird Fleisch gekennzeichnet, das aus einer Haltung stammt, die über die gesetzlichen Standards hinausgeht – darunter fällt auch das Fleisch aus Betrieben der Initiative Tierwohl. Das bedeutet, Tiere haben mindestens zehn Prozent mehr Platz im Stall als gesetzlich vorgeschrieben und es steht ihnen zusätzliches Beschäftigungsmaterial, wie z.B. Picksteine oder Stroh zur Verfügung.",3 Tage,"Bei diesem Artikel ist die Lieferkette vom Ferkel über die Mast, die Schlachtung, die Zerlegung, Veredelung, Verpackung und
Auslieferung in einem Radius um Berlin von rund 200 Kilometern abgebildet. So kommt das Fleisch zu 100% aus Brandenburg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Pork goulash from Brandenburg,€4.69,"Regional geschlachtet - kürzeste Transportwege!
Wir garantieren, das Schweine aus unserem Programm “Original Brandenburg” auch in der Region geschlachtet
werden. Die Transportwege vom landwirtschaftlichen Betrieb zur Schlachtung liegen garantiert unter 200 Kilometern.
Der Prozess Fleischqualität wird im Schlachtbetrieb unseres Vertragspartners VION in Perleberg von der Entladung, dem Zutrieb, der Betäubung und dem Schlacht - und Kühlprozess hervorragend beherrscht.

Das Ziel: Kreislaufwirtschaft!
80 Prozent der Anteile an Futtermitteln werden auf den eigenen Ackerflächen oder in der direkten Nachbarschaft erzeugt.
Unsere Partnerbetriebe haben einen Tierbesatz von maximal 2 GV pro Hektar und erfüllen damit die Anforderungen aus
dem Klimaschutzplan Deutschlands.
Die Verwertung der Dungreste auf den eigenen Ackerflächen als Nährstoffe für die Feldfrüchte stellt die gewünschte Kreislaufwirtschaft sicher. Zukünftig soll auf Importsoja verzichtet werden.

Damit sind nicht nur qualitative Aspekte für den Tiertransport und die Produktfrische abbildbar. Vielmehr findet eine deutliche
Verbesserung des CO2 – Fußabdruckes statt. Die Nutzung regenerativer Energien am Standort Britz ergänzt die 
 umweltbewusste Ausrichtung des Konzeptes Eberswalder - Original Brandenburg. , EFG Eberswalder Fleisch GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56481-original-brandenburg-schweine-gulasch-aus-brandenb/,https://bilder.kolonial.no/local_products/4bd5b61b-43c6-43b6-a83c-c06d7b43d063.jpg?auto=format&fit=max&w=1000&s=f357eb59d5d129f1aaf61196b2dbe9c0,,,,,,6 g,579 kJ / 138 kcal,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,EFG Eberswalder Fleisch GmbH,,,,,"Meat, sausage & fish",Meat & meat alternatives,oda,0.15 g,21 g,,,2.40 g,,,,100% Schweinegulasch.,500 Gramm,täglich,,,,,,Brandenburg,Deutschland,"Stufe ② Stallhaltung Plus: Mit dem blauen Label der Stufe 2 wird Fleisch gekennzeichnet, das aus einer Haltung stammt, die über die gesetzlichen Standards hinausgeht – darunter fällt auch das Fleisch aus Betrieben der Initiative Tierwohl. Das bedeutet, Tiere haben mindestens zehn Prozent mehr Platz im Stall als gesetzlich vorgeschrieben und es steht ihnen zusätzliches Beschäftigungsmaterial, wie z.B. Picksteine oder Stroh zur Verfügung.",3 Tage,"Bei diesem Artikel ist die Lieferkette vom Ferkel über die Mast, die Schlachtung, die Zerlegung, Veredelung, Verpackung und
Auslieferung in einem Radius um Berlin von rund 200 Kilometern abgebildet. So kommt das Fleisch zu 100% aus Brandenburg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,BIO COMPANY Organic Vegetarian Burger,€3.39,"Vegetarian burger based on soy and with a high protein and fiber content - suitable for grill and pan. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/57013-bio-company-bio-company-bio-vegetarischer-burger/,https://bilder.kolonial.no/local_products/7500c4a9-fa20-48a9-bbc2-9a12f884fe3d.jpg?auto=format&fit=max&w=1000&s=84201637ecd07daf706636bc5b48772b,1.90g,25g,0.50g,3.50g,,,,,,,,"eingeweichtes texturiertes SOJA* 42 % (Wasser, SOJA* 35 %), Wasser, Zwiebel*, WEIZENGLUTEN*, Sonnenblumenöl*, HartKÄSE gerieben* (MILCH*, mikrobielles Lab, Salz), EIweiß*, natürliche Gemüsearomen, Mehl-Stärke-Mischung* (Maismehl*, WEIZENmehl*, WEIZENstärke*, Salz) Hefeextrakt, Kokosnussöl*, Verdickungsmittel: Carrageen, jodiertes Salz (Salz, Kaliumjodat), HAFERfaser*, Knoblauch*, Verdickungsmittel: Xanthan, Pfeffer* ",160 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,6.90g,794kJ / 190kcal,,,,,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,Mustard.,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,BIO COMPANY Organic seitan cut,€3.65,"Sliced ​​seitan slices based on wheat gluten with a high protein content - suitable for grill and pan. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/57019-bio-company-bio-company-bio-seitan-geschnitten/,https://bilder.kolonial.no/local_products/14e39bf3-fa8c-4603-bde1-1f1b52b7dde6.jpg?auto=format&fit=max&w=1000&s=68101fdcb65a7887810ea92b95e7503a,1.50g,25g,0.50g,5.80g,,,,,,,,"WHEAT GLUTEN*  15  %,  water,  SOY sauce*  (water,  SOY beans*,  whole grain WHEAT*,  sea salt),  ginger* ",240 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,2.20g,621kJ / 147kcal,,,,,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"milk, mustard.",,,,,,,,,,,,,,,,organic product,,,,,,,2.20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,The Vegetarian Butcher Vegan like a schnitzel,€3.19,"We're so silly. So here comes the best, inspired by Vienna: The Vegetarian Butcher Wie'n Schnitzel looks like a schnitzel, smells like a schnitzel, tastes like a schnitzel. It's like a schnitzel. Without moo. No buts. Absolutely delicious for that. The meat substitute tastes best with potato salad and a slice of lemon. We believe: Sissi and Franz would have recommended it. No Kaiserschmarrn. Our vegan schnitzel is made from soy and is rich in protein and fiber. A crispy cutlet that tastes just as good as animal-based chicken, but is made with juicy, plant-based meat. Vegetarian recipes can be that easy! The Vegetarian Butcher was founded by Jaap Korteweg, a 9th generation farmer and meat lover. Since he has embraced a vegetarian lifestyle, his goal was to create delicious vegetarian meat that tastes even better than the original. His goal is to give meat lovers the experience that they don't miss out when they switch to vegetarian or vegan meat. That's why The Vegetarian Butcher offers a wide range of vegetarian and vegan meat alternatives that can compete with animal meat in taste and consistency. We would like to offer the opportunity to feast on vegetarian meat to your heart's content and not have to do without anything. that they don't miss out when they switch to vegetarian or vegan meat. That's why The Vegetarian Butcher offers a wide range of vegetarian and vegan meat alternatives that can compete with animal meat in taste and consistency. We would like to offer the opportunity to feast on vegetarian meat to your heart's content and not have to do without anything. that they don't miss out when they switch to vegetarian or vegan meat. That's why The Vegetarian Butcher offers a wide range of vegetarian and vegan meat alternatives that can compete with animal meat in taste and consistency. We would like to offer the opportunity to feast on vegetarian meat to your heart's content and not have to do without anything. , Unilever Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58160-the-vegetarian-butcher-the-vegetarian-butcher-vega/,https://bilder.kolonial.no/local_products/0e95ed05-2731-478f-84c2-25a4dd70dbcc.jpg?auto=format&fit=max&w=778&s=11546eefab97d2173822b6bc03cf1d6a,,,,,,18 g,1186 kJ / 283 kcal,,,"Unilever Deutschland GmbH, Neue Burg 1, 20457 Hamburg, Deutschland",,,,,"Meat, sausage & fish",Meat & meat alternatives,oda,0.91 g,9.20 g,0.70 g,18 g,2.90 g,,,,"Trinkwasser, 22% Sojabasis (Trinkwasser, SOJAEIWEISS, WEIZENGLUTEN, Stärke), 21% Paniermehl (WEIZENMEHL, WEIZENFASERN, Hefe, Speisesalz), Sonnenblumenöl, HAFERFASER, SOJAEIWEISS, WEIZENMEHL, Verdickungsmittel (Methylcellulose), Sheabutter, natürliches Aroma, Stärke, modifizierte WEIZENSTÄRKE, Flohsamenschalen, Branntweinessig, Kokosöl, Speisesalz, Säuerungsmittel (Milchsäure), Pfeffer, Eisendiphosphat, Vitamin B12. Kann andere GLUTENHALTIGE GETREIDE, EI und MILCH enthalten. ",180 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Fackelmann wooden skewers extra thick 25 cm,€3.29,Fruit skewers 25cm FAIR wood,https://oda.com//de/products/58661-fackelmann-fackelmann-holzspiesse-extra-dick-25-cm/,https://bilder.kolonial.no/local_products/313d06fd-563a-40f9-95d8-7558876a14aa.jpg?auto=format&fit=max&w=1000&s=1bbdc851be81d035bce95193c25f7f40,,,,,,,,,,,,,50 pieces,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,,,,,,,"Fackelmann, Sebastian-Fackelmann-Strasse 6, 91217 Hersbruck",China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,planted pulled spicy herbs,€3.19," , Planted Foods GmbH has provided the above information.",https://oda.com//de/products/59109-planted-planted-pulled-spicy-krauter/,https://bilder.kolonial.no/local_products/1c63461a-aa69-47bd-85a1-60e68a2346c9.jpg?auto=format&fit=max&w=567&s=4b78ca9fff97639afdb88784814d67e2,1.80g,19g,0.80g,3.70g,1.30g,,,,,,,"Water,  vegetable proteins  23%  (peas,  sunflowers,  oats),  rapeseed oil,  pea fibers,  lemon juice,  white wine vinegar,  herbs,  spice preparation,  salt,  corn starch,  vitamin  B12. ",160 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,14g,939kJ / 226kcal,,,,,,,"Planted Foods GmbH, Birkenstr. 22, 10559 Berlin, Germany",Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,planted pulled BBQ,€2.99," , Planted Foods GmbH has provided the above information.",https://oda.com//de/products/59110-planted-planted-pulled-bbq/,https://bilder.kolonial.no/local_products/8ed61316-75f4-440e-8ff2-4b50fe19e24b.jpg?auto=format&fit=max&w=567&s=0f6c91a8e95ef3c145bea7ebdf2ad2f7,1.80g,18g,6.10g,8.50g,0.50g,,,,,,,"Water,  vegetable proteins  22%  (pea,  sunflower,  oat),  tomato,  apple cider vinegar, pea  fiber,  apple juice concentrate,  onion,  rapeseed oil,  brown  sugar, white  wine vinegar, mustard seed,  spices  ,  black  pepper,  garlic,  salt, corn  starch,  yeast,  vitamin  B12. ",160 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,4g,609kJ / 145kcal,,,,,,,"Planted Foods GmbH, Birkenstr. 22, 10559 Berlin, Germany",Switzerland,,,,,,,,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,planted kebab Original,€2.99,"The planted.kebab tastes like juicy kebab meat. However, it can be prepared in a variety of ways - the enjoyment of the kebab is guaranteed. , Planted Foods GmbH has provided the above information.",https://oda.com//de/products/59111-planted-planted-kebab-original/,https://bilder.kolonial.no/local_products/305a85eb-18f0-4d85-b637-70761a894cc5.jpg?auto=format&fit=max&w=567&s=fcfd75118b9dbc1ed8176088026fae8e,19.70g,4.20g,0.30g,2.60g,1g,,,,,,,"Water,  pea protein  26%,  rapeseed oil,  pea fibre,  spices,  salt,  yeast,  vitamin  B12. ",160 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,13.40g,908kJ / 218kcal,,,,,,,"Planted Foods GmbH, Birkenstr. 22, 10559 Berlin, Germany",Switzerland,,,,,,,,6 days,,,,,,,,cooling productMust be stored between 0-4°C.,,,,,,,,,,,,,,,,,,,,Marinate or flavor the product to your liking. Heat vegetable oil in a pan. Fry for 3-5 minutes until golden brown. Store at a maximum of 7°C. Consume within 3 days after opening. Thawed: Do not refreeze.,,,,,,,,,,,,,,,,,,,,,
116,planted chicken herbs lemon,€2.99," , Planted Foods GmbH has provided the above information.",https://oda.com//de/products/59112-planted-planted-chicken-krauter-zitrone/,https://bilder.kolonial.no/local_products/de628531-d2ac-48c8-8035-597056d94683.jpg?auto=format&fit=max&w=567&s=2d9be68d9e87d8d323dfdc2b3e6f973f,1.80g,20g,0.50g,2.80g,1.20g,,,,,,,"Water,  26  %  pea protein,  17  %  marinade  (rapeseed oil,  11.2  %  lemon juice,  mustard  (water,  mustard seeds,  brandy vinegar, table  salt,  spices),  spices,  table salt,  3.1  %  herbs  (rosemary,  thyme),  2.2  %  lemon peel),  pea fibers,  rapeseed oil,  vitamin  B12. ",160 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,13g,894kJ / 215kcal,,,,,,,"Planted Foods GmbH, Birkenstr. 22, 10559 Berlin, Germany",Switzerland,,,,,,,,6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,planted chicken nature,€2.99,"Vegetable food made from pea protein, for frying , Planted Foods GmbH has provided the above information.",https://oda.com//de/products/59113-planted-planted-chicken-natur/,https://bilder.kolonial.no/local_products/162108b7-af20-4986-bd22-9b9d57bcf1b2.jpg?auto=format&fit=max&w=567&s=8b32ea6bf7b5d84902b2289384dd0266,0.80g,24g,0g,2.10g,0.60g,,,,,,,"Water, pea protein 33%, pea fiber, rapeseed oil, vitamin B12.",160 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,2.90g,634kJ / 151kcal,,,,,,,"Planted Foods GmbH, Birkenstr. 22, 10559 Berlin, Germany",Switzerland,Gluten.,,,,,,,6 days,,,,,,,,cooling productMust be stored between 0-4°C.,,,,,,,,4.40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Havelland organic bratwurst,€6.85," , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59500-biomanufaktur-havelland-havellander-bio-bratwurst/,https://bilder.kolonial.no/local_products/a5b852be-7330-40c2-8180-16edd8236ae4.jpg?auto=format&fit=max&w=1000&s=2e63e8d6c7f6b826ea03d460dcc89954,2.20g,12g,0.50g,1g,,,,,,,,"74% pork*, water, bacon*, sea salt, spices*, cane sugar*, stabilizer: sodium citrate, marjoram*, whole caraway*, dextrose*, pork intestine",400 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,32g,1427kJ / 339kcal,,,,,,,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Germany",Germany,"Gluten, Eggs, Soybeans, Milk, Nuts, Celery, Mustard.",,,,,,,6 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.",,,,,,,cooling productMust be stored between 1-7°C.,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Organic pork loin,€14.25,"Sliced ​​pork loin with bone. Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59501-biomanufaktur-havelland-bio-schweine-karree-2-sche/,https://bilder.kolonial.no/local_products/154cb4d6-1d20-4e45-bb38-6cd90baf5dff.jpg?auto=format&fit=max&w=1000&s=878d3b912f1bb0453b77c77b64519f38,,,,,,,,,,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",,,täglich,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Schweine Nackensteak,ca. 400 Gramm,,,,,,,,,,,,,3 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Organic Chicken Legs,€9.09,"Organic chicken thighs with skin and bones. Packaging note: The item was self-service packed in a protective atmosphere. Consumption note: Before consumption, heat through completely to a core temperature of at least 75°C. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59587-biomanufaktur-havelland-bio-hahnchen-keulen-2-stuc/,https://bilder.kolonial.no/local_products/c448e7a0-fbd2-4263-a244-ec211db5d567.jpg?auto=format&fit=max&w=1000&s=2e277187b381c5c3bc3a6a68c6717ed9,,,,,,,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf.",,,,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Hähnchenkeulen ,ca. 550 Gramm,täglich,,,,,,,,,2 Tage,,,,"ORGANIC AS IT SHOULD BE For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Organic Chicken Leg,€4.29,"Organic chicken thighs with skin and bones. Packaging note: The item was self-service packed in a protective atmosphere. Consumption note: Before consumption, heat through completely to a core temperature of at least 75°C. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59588-biomanufaktur-havelland-bio-hahnchen-keule-1-stuck/,https://bilder.kolonial.no/local_products/15985e8a-8d3f-4fc7-a000-ce039f7059ca.jpg?auto=format&fit=max&w=1000&s=f193cfad72c8f08cf094e9bd030eb2f0,,,,,,,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf.",,,,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Hähnchenkeulen ,ca. 260 Gramm,täglich,,,,,,,,,2 Tage,,,,"ORGANIC AS IT SHOULD BE For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Bio Kassler Lachser,"12,55€","Kassler-Lachser, gepökelt und geräuchert.

Verpackungshinweis: Der Artikel wurde Vakuumverpackt.
Verbrauchshinweis: Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden. , Biomanufaktur Havelland hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59589-biomanufaktur-havelland-bio-kassler-lachser-2-sche/,https://bilder.kolonial.no/local_products/e651e65e-85ae-4cab-8bf0-1f32a1bb16c9.jpg?auto=format&fit=max&w=982&s=07f6a8be24a07c88a7f18d4e8af930d8,,,,,,4.10 g,437 kJ / 104 kcal,KühlproduktMuss zwischen 0-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",,,,"Meat, sausage & fish",Meat & meat alternatives,oda,2.10 g,16.20 g,0.50 g,0.50 g,,,,Deutschland,"90% Schweinefleisch*, 10% Würzlake*(Wasser, Kochsalz, Dextrose*, Säureregulator: Natriumcitrat, Speisesalz, Maltodextrin*, Antioxidationsmittel: Natriumascorbat, Konservierungsstoff: Natriumnitrit, Gewürzextrakt, Gewürze*), Buchenholzrauch",ca. 300 Gramm,täglich,,,,,,,,,3 Tage,"BIO WIE ES SEIN SOLL
Für uns ist Fleisch keine Ware, sondern reine Herzenssache.

Genuss, aber mit Verantwortung: mit der Natur und mit Handwerkskultur. Vorbildliche Bauern. Raffinierte Rezepturen. Über 350 Spezialitäten – in Bio-Spitzenqualität. Für alle, die Wert auf wirklich guten Geschmack legen.",,,,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Organic lamb chops approx. 2 pieces,€14.70,"Lamb chops, divided, with bone , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59590-biomanufaktur-havelland-bio-lammkotelett-ca-2-stuc/,https://bilder.kolonial.no/local_products/e8596f19-f7b7-4e66-a4cd-336bf0e18441.jpg?auto=format&fit=max&w=1000&s=ef9f3f7ea71bbd33bacbdcd76e9e898e,,,,,,,,,,,,lamb chop ,approx. 250 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,,,,,,,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Germany",Germany,"Gluten, Eggs, Soybeans, Milk, Nuts, Celery, Mustard, Sulfur Dioxide.",,,,,,This product may vary slightly in weight and size. The price will be adjusted to the actual weight on the day of delivery. We ensure that the deviation is kept as small as possible.,2 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.",,,,,,,cooling productMust be stored between 1-7°C.,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Organic veal escalope,€15.15,"Leg of veal. Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59596-biomanufaktur-havelland-bio-kalbsschnitzel-1-schei/,https://bilder.kolonial.no/local_products/13825af9-229a-41a5-ac85-01e362900f9a.jpg?auto=format&fit=max&w=719&s=e015be3335ac12b8632df0d8a68372ba,,,,,,,,,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",,,täglich,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Kalbschnitzel ,ca. 200 Gramm,,,,,,,,,,,,,3 days,"ORGANIC AS IT SHOULD BE. This is what the Biomanufaktur Havelland stands for. For us, meat is not a commodity, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
