,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,Protein,fiber,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,Characteristics,supplier,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Notice,May contain traces of,Freshness guarantee (minimum),Region of origin,storage,Sodium,Country of origin,distributor,Description,Size,Delivery days,Product informationThe supplier has not provided us with detailed information about this product.Show all Schär products
10,10,multigrain bread,"2,49€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56948-oda-bakery-mehrkornbrot/,https://bilder.kolonial.no/local_products/b8dfe62c-fd9a-43c1-822c-77b300b7a364.jpg?auto=format&fit=max&w=1000&s=91778e2e5432fbf053310bf60cd8bfb7,1.18 g,7.90 g,8.50 g,0.70 g,34.70 g,0.50 g,4.70 g,966 kJ / 230 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","Water, 20% natural sourdough (59% RYE FLOUR, water), 20% WHEAT FLOUR, 15% RYE FLOUR, 5% OAT FLAKES, 3% sunflower seeds, RYE MEAL, 2% linseed, yeast, salt, WHEAT GLUTEN, thickener guar flour, BARLEY MALT. The product may contain traces of SESAME and NUTS.",500 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
11,11,Chocolate Cream Bun,"1,99€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56950-oda-backerei-schokocreme-brotchen/,https://bilder.kolonial.no/local_products/47f8200a-7d91-48f7-abf2-d0603cc4c213.jpg?auto=format&fit=max&w=1000&s=5dcc07ef13a4d6c20ca11ab436646ace,1 g,7.50 g,3 g,13.20 g,48.20 g,10 g,18.80 g,1667 kJ / 398 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","WHEAT FLOUR, water, 13% butter (MILK), sugar, chocolate cream (sugar, palm fat, low-fat cocoa, HAZELNUTS, 5% milk chocolate (sugar, WHOLE MILK POWDER, cocoa butter, cocoa mass), modified starch, ALMONDS, emulsifier SOY LECITHINE), modified starch, yeast , pasteurized WHOLE EGG, WHOLE MILK POWDER, salt, SWEET WHEY POWDER, WHEAT GLUTEN, palm oil, WHEAT STARCH, CHICKENS EGG POWDER, thickener sodium alginate, dextrose, glucose syrup, natural flavoring, WHEAT pregelatinized flour, maize pregelatinized flour, WHEAT malt flour, flour treatment agents (enzymes (amylases, hemicellulases ), ascorbic acid), MILK PROTEIN, coloring ( carotenes, riboflavin).",190 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
12,12,"Berliner with multi-fruit filling, powdered","1,99€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56951-oda-backerei-berliner-mit-mehrfruchtfullung-gepude/,https://bilder.kolonial.no/local_products/4bfa25d1-3b89-4f86-b239-657aa1cb5018.jpg?auto=format&fit=max&w=1000&s=bc12795715a79c1b64151a6ce3275812,0.70 g,7.20 g,in,14.10 g,46.80 g,7.20 g,16.40 g,1542 kJ / 368 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","WHEAT FLOUR, 15% multi-fruit jam (sugar, 35% fruit* in varying proportions (apples, strawberries, raspberries, sour cherries), glucose syrup, water, gelling agent pectin, acidifier citric acid; firming agent calcium citrate), palm fat, pasteurized WHOLE EGG, yeast, 3% decorating sugar ( Glucose, WHEAT STARCH, palm fat), rapeseed oil, water, sugar, sweet whey powder (MILK), salt, emulsifier mono- and diglycerides of fatty acids, glucose, EGG WHITE POWDER. The product may contain traces of soy, nuts and sesame. *Equivalent to 5% fruit in the end product.",195 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,This product is thawed,in,in,in,in,in,in,in,in,in,in,in
13,13,Filly Berry Donut,"1,99€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56952-oda-backerei-filly-berry-donut/,https://bilder.kolonial.no/local_products/6675489a-f1da-4b42-bad0-a7e05b71fedd.jpg?auto=format&fit=max&w=1000&s=19050c4f31178cdf784b18e7b57a582f,0.60 g,4.90 g,in,18 g,44 g,8.80 g,16 g,1450 kJ / 346 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","WHEAT FLOUR, wild berry filling 22.1% (sugar, 16% strawberries, 13% blueberries, 12% blackberries, water, 9% raspberries, modified starch, gelling agent pectin, acidity regulator citric acid, flavoring, preservative potassium sorbate), water, palm oil, 7.4 % glaze (sugar, vegetable fats and oils (palm kernel fat, palm fat, coconut oil), emulsifier lecithins, coloring plant extracts (radishes, beetroot extract), spirulina concentrate), 4.4% pieces of wild berries (28.6% fruit in variable proportions ( black currants, strawberries, raspberries), sugar, WHEAT FLOUR, sunflower oil), margarine (palm fat, rapeseed oil, water, lemon juice), sugar, yeast, salt, raising agents (potassium tartrate, sodium carbonate), WHEAT GLUTEN, dextrose, flour treatment agent ascorbic acid. The product may contain traces of milk, nuts.",136 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,This product is thawed,in,in,in,in,in,in,in,in,in,in,in
14,14,Filly Chocolate Cream Donut,"1,99€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56953-oda-backerei-filly-chocolate-cream-donut/,https://bilder.kolonial.no/local_products/9aaffda2-e306-463f-bd2a-96f5d6e51ac8.jpg?auto=format&fit=max&w=1000&s=90aec1d644fbe23c48f8d4a45240c6b9,0.80 g,5.20 g,in,23 g,50 g,10 g,22 g,1789 kJ / 428 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","WHEAT FLOUR, 20% cocoa cream (sugar, vegetable oils (sunflower, palm), low-fat cocoa, SKIMMED MILK POWDER, 4% chocolate (sugar, cocoa mass, cocoa butter), emulsifier lecithins), water, 9% cocoa-based glaze (sugar, vegetable fats (palm kernel, palm), low-fat cocoa, emulsifier lecithins), palm oil, 5% milk chocolate crumbles (sugar, cocoa mass, WHOLE MILK POWDER, low-fat cocoa powder, cocoa butter, emulsifier lecithins), margarine (palm fat, water, rapeseed oil, lemon juice), sugar, yeast, salt, emulsifiers ( Mono and diglycerides of fatty acids, mono- and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids, sodium stearoyl-2-lactylate), WHEAT GLUTEN, raising agents (sodium carbonates, diphosphates), dextrose, stabilizer guar gum, sweet whey powder (MILK), LACTOSE, flour treatment agent ascorbic acid. The product may contain traces of nuts.",154 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,This product is thawed,in,in,in,in,in,in,in,in,in,in,in
15,15,Buttercroissant,"1,99€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56955-oda-backerei-buttercroissant/,https://bilder.kolonial.no/local_products/e5424b99-2dfa-4ec3-837c-69a8dc590d62.jpg?auto=format&fit=max&w=1000&s=4fc95b33a95a33ea0eba046861267708,1.10 g,8.50 g,2.60 g,4.60 g,44 g,10.60 g,17.80 g,1572 kJ / 375 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","WHEAT FLOUR, water, 17% butter (MILK), sugar, yeast, WHEAT GLUTEN, salt, WHOLE MILK POWDER, emulsifiers (mono- and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids, mono- and diglycerides of fatty acids), MILK PROTEIN, LACTOSE, dextrose, SKIMMED MILK POWDER , plant fibers (citrus), flour treatment agents (ascorbic acid, enzymes (amylases, xylanases, transglutaminases)), stabilizers (carboxymethylcellulose, xanthan). The product may contain traces of egg, nuts, soy and sesame.",180 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
16,16,Märkisches Landbrot demeter rye bread,"5,49€","A hearty wholemeal bread made from 100% wholemeal rye with a slightly malty caramel character. The interesting thing about this bread with the strong crust and juicy crumb is the sweet note that it gets from the spicy rye and the long baking time. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56914-markisches-landbrot-markisches-landbrot-demeter-ro/,https://bilder.kolonial.no/local_products/5d9ad358-22fd-4346-8331-9a7427f8150d.jpg?auto=format&fit=max&w=450&s=b0331f883b032133b14be463da5741cb,1.40 g,6.20 g,9 g,0.60 g,40 g,0.20 g,1.10 g,896 kJ / 215 kcal,Bio-Product,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","RYE sourdough** (food water, WHOLEMEAL RYE MEAL**, sourdough cultures*), WHOLEMEAL RYE MEAL**, WHOLEMEAL RYE MEAL** scalded, food water, rock salt. Deco: WHOLEMEAL RYE MEAL**

Grain content: 100% WHOLEMEAL RYE MEAL**
QUID: 62% RYE**
*from controlled organic production, **from biodynamic production",1000 Gramm,daily,"Bread, baked goods & spreads",Violation,oda,in,in,in,in,in,in,in,in,in,in,in,in
17,17,Märkisches Landbrot demeter light spelled,"3,69€","A light, mild organic yeast bread with a particularly aromatic, crispy crust and soft crumb, which is characterized by a long dough process. This bread is ideal for sweet and savory spreads and as an accompaniment to salads, soups or hearty dishes. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56915-markisches-landbrot-markisches-landbrot-demeter-di/,https://bilder.kolonial.no/local_products/d36cd94f-22e4-40a4-9098-f7e4895792b0.jpg?auto=format&fit=max&w=450&s=f2ab9412b172d8be55e106914b09be14,1.40 g,8.40 g,2.90 g,0.50 g,42 g,0.10 g,0.80 g,918 kJ / 220 kcal,Bio-Product,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","SPELLED FLOUR type 630**, food water, SPELLED FLOUR type 630** brewed, SPELLED WHOLEMEAL MEAL**, SPELLED baking ferment** [food water, SPELLED FLOUR type 630**, baking ferment* [corn flour*, pea flour*, blossom honey*], honey*], , yeast*, rock salt
Decoration: SPELLED FLOUR Type 630**
Grain content: 90 % SPELLED FLOUR type 630**, 10 % SPELLED WHOLEMEAL MEAL**
QUID: 80% SPELLED**
*from controlled organic production, **from biodynamic production",375 Gramm,daily,"Bread, baked goods & spreads",Violation,oda,in,in,in,in,in,in,in,in,in,in,in,in
18,18,Märkisches Landbrot demeter carrot and walnut bread,"4,99€","Freshly grated carrots give this very juicy wholemeal bread its slightly fruity sweetness. A particularly sophisticated bread with a soft crumb, to which walnuts and millet give a crunchy bite. Rolled in a rich seed decoration, it is an all-round successful powerhouse. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56916-markisches-landbrot-markisches-landbrot-demeter-mo/,https://bilder.kolonial.no/local_products/dbe36b0d-4c12-4190-9e94-a810159cdcc2.jpg?auto=format&fit=max&w=300&s=54cb410b5bc81842819a4093cb1bd4bd,1.20 g,6.50 g,7.70 g,2 g,34 g,0.40 g,3 g,863 kJ / 206 kcal,Bio-Product,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","RYE sourdough** (food water, WHOLEMEAL RYE MEAL**, sourdough cultures*), WHOLEMEAL WHEAT MEAL**, food water, fresh carrots**, millet* scalded, WALNUTS* roasted, carrot flakes*, rock salt.
Decoration: linseed**, poppy seeds*, SESAME**, sunflower seeds**, RYE FLAKES**

Grain content: 60% WHOLEMEAL WHEAT MEAL**, 35% WHOLEMEAL RYE MEAL**, 5% millet*
QUID: 18% carrots**, 2% walnuts*
*from controlled organic production, **from biodynamic production",750 Gramm,daily,"Bread, baked goods & spreads",Violation,oda,in,in,in,in,in,in,in,in,in,in,in,in
19,19,Märkisches Landbrot demeter Märkische crust,"5,99€","The rustic bread was baked directly on the stone slab according to old handicraft tradition. The extremely long dough process of approx. 17 hours makes the mixed bread light and particularly tasty. The roasted aromas of the pronounced crust and the mild acidity underline the character and make the Märkische Crust a treat for every occasion. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56918-markisches-landbrot-markisches-landbrot-demeter-ma/,https://bilder.kolonial.no/local_products/4c1de063-9f8d-42f0-8496-d037d45c7b25.jpg?auto=format&fit=max&w=450&s=359a033de892419f5c0f9b199e5ed101,1.40 g,6.70 g,4.70 g,1.70 g,42 g,0.20 g,1 g,881 kJ / 210 kcal,Bio-Product,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","RYE SOURDOUGH** (food water, RYE FLOUR type 1150**, WHOLEMEAL RYE MEAL**, sourdough cultures*), WHEAT FLOUR type 1050**, food water, RYE** pressed and cooked, RYE FLOUR type 1150**, ROASTED BREAD**, rock salt.
Decoration: RYE FLOUR Type 1150**

Grain ingredients: 50% WHEAT FLOUR type 1050**, 34% RYE FLOUR type 1150**, 16% WHOLEMEAL RYE MEAL**
*from controlled organic production, **from biodynamic production",1000 Gramm,daily,"Bread, baked goods & spreads",Violation,oda,in,in,in,in,in,in,in,in,in,in,in,in
20,20,Märkisches Landbrot demeter sunflower bread sliced,"3,49€","A rich wholemeal bread that seduces inside and out with the intensive aroma of the roasted, nutty sunflower seeds. The coarse-grained, loose crumb with a pithy bite has an aromatic, sour note - the smooth middle crust is rolled in sunflower seeds. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56919-markisches-landbrot-markisches-landbrot-demeter-so/,https://bilder.kolonial.no/local_products/7bd11a4c-4e18-458a-8ead-2fd14109ea1f.jpg?auto=format&fit=max&w=715&s=634f7367f9b45d6d5f2cea53e5ccb2fc,1.30 g,0.70 g,8 g,1.80 g,35 g,0.30 g,2 g,847 kJ / 203 kcal,in,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","RYE sourdough** (food water, WHOLEMEAL RYE MEAL**, sourdough cultures*), WHOLEMEAL WHEAT MEAL**, food water, WHOLEMEAL RYE MEAL**, ROASTED BREAD**, roasted sunflower seeds*, RYE** cooked, rock salt.
Decoration: sunflower seeds**

Grain content: 60% WHOLEMEAL RYE MEAL**, 40% WHOLEMEAL WHEAT MEAL**
QUID: 6% sunflower seeds",500 Gramm,daily,"Bread, baked goods & spreads",Violation,oda,in,"Milk, Nuts, Celery, Sesame Seeds, Lupine.",5 Take,in,in,in,in,in,in,in,in,in
21,21,Märkisches Landbrot demeter Vierschrotbrot slices,"3,49€","The wonderfully balanced wholemeal bread made from four types of grain exults with a particularly mild aroma. The fine, juicy crumb with the strong dark crust, rolled in golden oatmeal, delights the senses. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56920-markisches-landbrot-markisches-landbrot-demeter-vi/,https://bilder.kolonial.no/local_products/63fe7609-4046-497b-a4c3-54985a7e9758.jpg?auto=format&fit=max&w=729&s=de25d3d9fe72b4000f5ed93de45691b3,1.30 g,7.10 g,7.40 g,0.50 g,36 g,0.30 g,1.50 g,850 kJ / 204 kcal,in,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","RYE baking ferment** (food water, WHOLEMEAL RYE MEAL**, baking ferment* [corn flour*, pea flour*, blossom honey*], honey**), food water, WHOLEMEAL WHEAT MEAL**, WHOLEMEAL SPELLED MEAL**, OATS** cooked, ROASTED BREAD** (food water , WHOLEMEAL RYE MEAL**, WHOLEMEAL SPELLED MEAL**, WHOLEMEAL WHEAT MEAL**, WHOLEMEAL BARLEY MEAL**, rock salt, sourdough cultures*, sunflower seeds*), WHOLEMEAL OAT MEAL**, rock salt.
Decoration: WHOLEMEAL OAT MEAL**.

Cereal content: 35% WHOLEMEAL WHEAT**, 35% WHOLEMEAL RYE**, 15% WHOLEMEAL OATS**, 15% WHOLEMEAL SPELLED**
QUID: 24% RYE, 20% WHEAT, 9% SPELLED, 9% OATS",500 Gramm,daily,"Bread, baked goods & spreads",Violation,oda,in,"gluten, milk, sesame seeds.",5 Take,in,in,in,in,in,in,in,in,in
