,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,drained weight,product weight,supplier,country of origin,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,fiber,region of origin,Natrium,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Abtropfgewicht,Characteristics,gross weight,Eigenschaften,May contain traces of,FAO area designation,Description,Drained weight,Size,Delivery days,Product InformationThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Produktgewicht,Ursprungsland,Beschreibung,Kann Spuren enthalten von ,sodium,Bruttogewicht,Hinweis,capacity,Inverkehrbringer,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,thereof polyols,distributor,Product InformationThe supplier has not provided us with detailed information about this product.View all Nestlé products,Freshness guarantee (minimum),Monounsaturated fatty acids,storage,Informationen zum Angebot,Information about the offer,Polyunsaturated fatty acids
10,BIO COMPANY Organic Chickpeas,€1.29,"The chickpeas are ideal for the preparation of cold and warm dishes and, with their slightly nutty note, are a pleasure as an ingredient in salads, vegetable pans, stews, hummus, chillies, wraps, rice and pasta dishes. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52656-bio-company-bio-company-bio-kichererbsen/,https://bilder.kolonial.no/local_products/9d359b30-f416-44b8-87f6-fff241a49fc2.jpg?auto=format&fit=max&w=450&s=d78394379e5ec42cc940bd393e4bbba5,0.05g,4.30g,0g,8.60g,,1.30g,303kJ / 72kcal,240 grams,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"chickpeas*, water",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,4.50g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BIO COMPANY Organic capers in wine vinegar,€1.99,"In Weinessig eingelegte Blütenknospen des Kaperstrauches - würzig-pikantes Aroma - mit angenehm knackigem Biss, ideal zum Abschmecken und verfeinern. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52662-bio-company-bio-company-bio-kapern-in-weinessig/,https://bilder.kolonial.no/local_products/162aceb6-5fda-4269-a5d1-ce395fde3f4c.jpg?auto=format&fit=max&w=450&s=44e386101ed7d908c955b34a59839492,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,5.90 g,1.90 g,3.30 g,1 g,1.40 g,,0.40 g,97 kJ / 23 kcal,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",,"Kapern*, Wasser, Weinessig*, Salz",100 Gramm,täglich,50 Gramm,,,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mom's pizza sauce seasoned,€1.89,"Mom's pizza sauce seasoned 400 GR , Vog AG has provided the above information.",https://oda.com//de/products/28159-mutti-mutti-pizza-sauce-gewurzt/,https://bilder.kolonial.no/produkter/e20a75ee-02ca-4db4-9129-eba77a340b27.jpeg?auto=format&fit=max&w=227&s=4cbb3fd425e8d9994c01fc142a126b75,0.75g,1.60g,4.20g,5.40g,0.10g,0.50g,150kJ / 36kcal,,,"Vog SA, Via Traversetolo, 28 - 43022 Montechiarugolo, Parma, Italy",,"Tomato 82.4%, water, salt, basil 0.05%, oregano 0.04%, onion 0.03%, natural flavor.",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Müller's red sausage,€2.65,"Top quality from the Lüneburg Heath. Without the addition of flavor enhancers. , Müllers Hausmacher Wurst GmbH & Co. KG has provided the above information.",https://oda.com//de/products/42400-mullers-mullers-rotwurst/,https://bilder.kolonial.no/local_products/781b50be-675a-420e-ac2b-d65bc0794e5b.jpg?auto=format&fit=max&w=974&s=e6117ccb6ca901462a422be544ad5e68,1.30g,19g,0.40g,0.40g,23g,23g,1194kJ / 285kcal,,,"Müllers Hausmacher Wurst GmbH & Co. KG, Uelzener Strasse 16, D-29574 Ebstorf, Germany",Germany,"Pork (72%), pork bacon, pork blood (9%), pork rind, table salt, spices, herbs, stabilizer: sodium citrate, preservative: sodium nitrite.",160 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Spreewaldhof sour/ salted dill gherkins,€2.29,"Spreewaldhof Sour Cucumbers (PGI Spreewald Cucumbers)Salt-dill-cucumbers fermented with lactic acid, in a naturally cloudy infusion 650g , Spreewaldreservate Golßen GmbH has provided the above information.",https://oda.com//de/products/46839-spreewaldhof-spreewaldhof-saure-salzdillgurken/,https://bilder.kolonial.no/local_products/1d7fffde-0832-4565-865d-3394e5f491b1.jpg?auto=format&fit=max&w=1000&s=406195db97d383c1f74aaf2effbc73cc,2.10g,1.10g,3.30g,3.50g,0.10g,0.10g,106kJ / 25kcal,370 grams,,"Spreewaldreservate Golssen GmbH, Bahnhofstr. 1, 15938 Golssen, Germany",,"Cucumbers  (  fermented with lactic acid),  water,  dill,  salt. May contain  traces  of  MUSTARD  . ",670 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,Mustard.,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BIO COMPANY organic peas,€1.29,"The peas are ideal for the preparation of cold and warm dishes and, with their slightly nutty note, are a pleasure as an ingredient in salads, vegetable pans, stews, hummus, chilies, wraps, rice and pasta dishes. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52750-bio-company-bio-company-bio-erbsen/,https://bilder.kolonial.no/local_products/b7549d36-2576-4c30-b6bc-e6ec11046ff7.jpg?auto=format&fit=max&w=450&s=799fd4fede5f8b20656850c6d8b830db,0.01g,5.30g,3.90g,11g,,0.60g,328kJ / 78kcal,240 grams,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"peas*, water",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,5.10g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BIO COMPANY Marinated organic artichoke hearts in oil,€4.79,"Crunchy artichoke hearts in a hearty aromatic herb oil marinade in wine vinegar. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52827-bio-company-bio-company-bio-artischockenherzen-mar/,https://bilder.kolonial.no/local_products/ecf0c8a4-3f51-4259-bc57-e71df49472b6.jpg?auto=format&fit=max&w=450&s=5294aa24fa5954129e863e1be891e6fe,1.70g,2g,0.20g,1.10g,1g,8.70g,424kJ / 103kcal,180 grams,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Artichokes* (62%), sunflower oil* (29%), extra virgin olive oil* (7%), salt, wine vinegar*, parsley*, basil*",190 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,6.20g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,German lake tuna in olive oil,€2.79,"The divided, cleaned tuna pieces are steamed and calibrated. The boned, skinned chunks of tuna are canned with olive oil and salt and sterilized (commercially sterile). , Deutsche See GmbH has provided the above information.",https://oda.com//de/products/55081-deutsche-see-deutsche-see-thunfisch-in-olivenol/,https://bilder.kolonial.no/local_products/d5403601-c7f4-4a1f-8332-0060d104b2c4.jpg?auto=format&fit=max&w=1000&s=5ee63f799018f727329f48060087489f,1g,25g,0.50g,0.50g,1.80g,12g,878kJ / 210kcal,,,"Deutsche See GmbH, Maifischstrasse 3-9, 27572 Bremerhaven, Germany",,"TUNA , extra virgin olive oil , salt     ",185 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,"Western Indian Ocean, Eastern Indian Ocean. This information relates to the main source of supply. Deviations may occur in individual cases.",Tuna pieces in extra virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,
18,Spreewaldhof cornichons with fresh herbs available,€3.19,"Spreewaldhof Our darling, cornichons refined with fresh herbs (PGI Spreewald gherkins) 530g , Spreewaldreservate Golßen GmbH has provided the above information.",https://oda.com//de/products/42549-spreewaldhof-spreewaldhof-cornichons-m-frischen-kr/,https://bilder.kolonial.no/local_products/bfa0ab23-0947-48b7-b8ee-f5efd61510a2.jpg?auto=format&fit=max&w=836&s=f7d6c81548f8adc97f937a0dbc7f0b95,1.40g,0.40g,8.90g,9g,0.10g,0.10g,185kJ / 44kcal,300 grams,,"Spreewaldreservate Golssen GmbH, Bahnhofstr. 1, 15938 Golssen, Germany",,"Gherkins,  Sugar,  Spirit Vinegar,  Onions,  Salt,  MUSTARD , Dill, Thyme, Spices, Spice Extracts.     ",530 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,1.50g,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Müller's onion sausage,€2.65,"Müller's Hausmacher Sausage Onion Sausage, cooked 160g jar , Müllers Hausmacher Wurst GmbH & Co. KG has provided the above information.",https://oda.com//de/products/43790-mullers-mullers-zwiebelwurst/,https://bilder.kolonial.no/local_products/fbab208d-d66f-4ac1-be20-1c48185617fb.jpg?auto=format&fit=max&w=974&s=8b94a6160dd88b7107f9c62045ac26fa,1.40g,13g,0.40g,1g,14g,34g,1499kJ / 363kcal,,,"Müllers Hausmacher Wurst GmbH & Co. KG, Uelzener Strasse 16, D-29574 Ebstorf, Germany",,"Pork (89%), pork bacon, onions (4%), table salt, spices, spice extract (0.3%), preservative: sodium nitrite",160 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Oro di Parma tomatoes chunky,€1.99,"The secret of ORO di Parma lies in the exquisite quality of the tomatoes. Thanks to their long maturing period under the southern sun, they develop their full fruity and intense taste. , Hengstenberg GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44772-oro-di-parma-oro-di-parma-tomaten-stuckig/,https://bilder.kolonial.no/local_products/b8ccdf30-fd89-449f-a709-cd952f4e787b.jpg?auto=format&fit=max&w=601&s=20e8c47751a8fb023540d4aa326439f2,0.50g,1.10g,3g,3g,,,95kJ / 23kcal,,,"Hengstenberg GmbH & Co. KG, Mettinger Strasse 109, 73728 Esslingen, Germany",,"Chopped tomatoes, salt, acidity regulator: citric acid.",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Italy,,,,,,,,,,,,,,,,,400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Del Monte fruit cocktail sweetened,€4.39,"Del Monte fruit cocktail, sweetened, with peach pulp, 825g , Del Monte (Germany) GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46290-del-monte-del-monte-fruchtcocktail-gezuckert/,https://bilder.kolonial.no/local_products/6e04948b-3757-40af-810a-b5a07abf6801.jpg?auto=format&fit=max&w=331&s=f83821efe353e1e4f281d270287c54ff,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,"Del Monte (Germany) GmbH, Am Schlossfeld 6, D - 97828 Marktheidenfeld, Deutschland",Griechenland,"Obst in unterschiedlichen Anteilen – (Pfirsiche, Birnen, Ananas, Weintrauben, Kirschen mit Farbstoff E127)
ERKLÄRUNG Pfirsichpüree (18%), Wasser, Glukose-Fruktose-Sirup, Zucker, Säureregulator: Citronensäure,
Antioxidans: Ascorbinsäure ",825 Gramm,täglich,500 Gramm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BIO COMPANY Organic basilic pesto,€2.49,"Fresh basil pesto, purely vegetable with 66% basil, cashew nuts and olive oil. Also tastes great on toasted white bread. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52569-bio-company-bio-company-bio-pesto-basilico/,https://bilder.kolonial.no/local_products/2568b0a7-026a-459b-9efd-cdda900c51d4.jpg?auto=format&fit=max&w=1000&s=f39bd4d52a064d6e4fa72ef12345bb6e,3.40g,5.10g,0.50g,1.70g,,43g,1732kJ / 421kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Basil* 66%, sunflower oil* 14%, olive oil* 14%, cashews 4%, salt, lemon juice*, potato flakes, acidity regulator: lactic acid.",140 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,3.30g,Italy,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BIO COMPANY organic bean mix,€1.29,"The delicate kidney beans from Mexican cuisine are particularly well-known for their red color and distinctive taste. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52810-bio-company-bio-company-bio-bohnen-mix/,https://bilder.kolonial.no/local_products/e720a19e-f53d-4603-b043-9eeef20e198f.jpg?auto=format&fit=max&w=450&s=296090f3711e75b316392b160463ab09,0.04g,5.50g,0.70g,13g,,0.70g,358kJ / 85kcal,240 grams,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Red kidney beans*, white beans*, chickpeas*, white giant beans*, water",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,3.10g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,German lake tuna in infusion,€2.79,"The divided, cleaned tuna pieces are steamed and calibrated. The boned, skinned tuna chunks are canned with water and salt and sterilized (commercially sterile). , Deutsche See GmbH has provided the above information.",https://oda.com//de/products/55082-deutsche-see-deutsche-see-thunfisch-in-aufguss/,https://bilder.kolonial.no/local_products/aeb5f1de-456b-4148-bd51-200a637374e1.jpg?auto=format&fit=max&w=1000&s=611aae715a3d2566f567b6d25713c54f,0.80g,23g,0.50g,0.50g,0.30g,0.80g,421kJ / 99kcal,,,"Deutsche See GmbH, Maifischstrasse 3-9, 27572 Bremerhaven, Germany",,"TUNA , water, salt   ",185 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,"Western Indian Ocean, Eastern Indian Ocean. This information relates to the main source of supply. Deviations may occur in individual cases.",,,,,,,,,,,,,,,,,,,,,,,,,,
25,Oro di Parma tomatoes happens,€1.99,"The secret of Oro di Parma are the particularly aromatic Parma tomatoes. They stand for the highest level of enjoyment, as do the world-famous cheese and the delicious ham. Ripened in the sun, carefully selected, freshly peeled and finely chopped, Parma tomatoes with their intense flavor form the ideal basis for sauces, soups and pizza. , Hengstenberg GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44981-oro-di-parma-oro-di-parma-tomaten-passiert/,https://bilder.kolonial.no/local_products/fa2db089-7fd7-427d-ba04-a989760f4bfa.jpg?auto=format&fit=max&w=600&s=7b2bc7d0b5f9c76948f14db92a2973ce,0.50g,1.40g,4.90g,4.90g,,,138kJ / 33kcal,,,"Hengstenberg GmbH & Co. KG, Mettinger Strasse 109, 73728, Esslingen",,"Tomato passata, salt, acidity regulator: citric acid.",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Italy,,,,,,,,,,,,,,,,,400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Del Monte peaches 1/2 Fr. in juice,€2.49,"Del Monte Peaches, 1/2 fruit, in juice 415g , Del Monte (Germany) GmbH has provided the above information.",https://oda.com//de/products/47444-del-monte-del-monte-pfirsiche-1-2-fr-in-saft/,https://bilder.kolonial.no/local_products/27ad9ac0-ea1a-4b29-98eb-861e93f6cfd3.jpg?auto=format&fit=max&w=331&s=0e711edf1fafdc45e16bf2404582186d,,,,,,,,140 grams,,"Del Monte (Germany) GmbH, Am Schlossfeld 6, D - 97828 Marktheidenfeld, Germany",,"Peaches, clarified pear or pineapple juice from concentrate, acidity regulator: citric acid",415 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Müller's organic heather breakfast in jelly style fine,€2.49,"Organic heather breakfast, aspic style, finely chopped. Without the addition of flavor enhancers and naturally gluten and lactose-free. , Müllers Hausmacher Wurst GmbH & Co. KG has provided the above information.",https://oda.com//de/products/47645-mullers-mullers-bio-heidefruhstuck-nach-sulze-art/,https://bilder.kolonial.no/local_products/2b8be4fa-4f1d-4385-b47b-80d5d6c8948c.jpg?auto=format&fit=max&w=819&s=ec6accf3f11368a90c16f8b3956db1c0,1.70g,15g,0.40g,0.40g,15g,15g,829kJ / 198kcal,,,"Müllers Hausmacher Wurst GmbH & Co. KG, Uelzener Strasse 16, D-29574 Ebstorf, Germany",,"Pork (61%)*, drinking water, pork rinds*, pork gelatine*, sea salt, spices*. *from controlled organic production.",160 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
