,,,,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Unnamed: 6,country of origin,commercial class,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Country of origin,Trade class,Contents.1,Possible delivery times.1,Weight,Characteristics,supplier,Information about the offer,region,supplier.1,Region of origin,region of origin,variety,Quality,Description,trademark,trade class,mixing,Characteristics.1,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,Ingredients/Ingredients,Freshness guarantee (minimum),Salt.1,Protein,fiber,Zucker,carbohydrates.1,hereof: saturated fatty acids.1,Fett,calorific value.1,Ingredients/Ingredients.1,Freshness guarantee (minimum).1,fiber.1,Information about the offer.1,May contain traces of,May contain traces of.1,storage,drained weight,storage.1,Variable weight,Description.1,drained weight.1,distributor,Notice,Polyunsaturated fatty acids,Monounsaturated fatty acids,particularities,weight class,grade,Size,Size.1,Delivery days,Freshness guarantee,Product InformationThe supplier has not provided us with detailed information about this product.View all Alpro products,sodium,deposit,deposit.1
10,,,,Tyrolean milk Alta Badia,€4.59,"Hard cheese made from cow's milk, matured for at least 6 months, natural rind, yellow, compact dough, full-bodied and spicy, flowery and fruity nuances, paired with tender melt - a first-class cheese from South Tyrol. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58741-oda-kasetheke-tiroler-milch-alta-badia/,https://bilder.kolonial.no/local_products/56eb200b-ecfb-47ee-85b9-58f309866eb1.jpg?auto=format&fit=max&w=769&s=606aeb30341ebbbadc9f29fa3edbf77d,,,,150 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Italy,,,,,,,,1.80g,26g,0g,0g,23g,32g,1626kJ / 392kcal,"COW MILK , lactic acid bacteria, salt, rennet substitute, bark: preservative: natamycin, coloring: E ​​150d.          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,Tyrolean Milk Swiss Truffles,€5.89,"Cheese preparation made from semi-hard cow's milk cheese, matured for at least 10 weeks, light yellow, creamy-melting dough without holes, refined with real truffles, mildly aromatic with truffle flavor,St.Gallen , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58742-oda-kasetheke-tiroler-milch-schweizer-truffeli/,https://bilder.kolonial.no/local_products/6ae58b00-4b0f-42a0-8ee7-7063c3e4eb8a.jpg?auto=format&fit=max&w=619&s=5ba0b10948c5861a3a502fb87acb5b01,,,,150 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Switzerland,,,,,,,,1.50g,23g,0.10g,0.50g,24.50g,37.30g,1796kJ / 430kcal,"COW MILK , 2% truffle preparation (summer truffle, water, aroma), salt, rennet, cultures.         ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,Camembert Heumilch,"8,35€","Charme trifft auf Würze: Typisch der Duft nach Pilzen, Moos und Erdnüssen, verführerisch cremig das Mundgefühl. Die Pilzaromen finden sich am Gaumen wieder, begleitet von einem animierenden, lebendigen Aromenmix aus Weißbrot, Sauerrahm und Jungholz.

Laktosegehalt: unter 0,1 g/100 g , Käserebellen GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58745-oda-kasetheke-camembert-heumilch/,https://bilder.kolonial.no/local_products/e9b9d64b-0b4b-460e-963e-3d1ac2c7e19a.jpg?auto=format&fit=max&w=1000&s=dd47d8e575f82b52ecabc899e76bce90,,,,,,"cheese, eggs and dairy products",cheese counter,oda,,,250 Gramm,daily,,,,,,Käserebellen GmbH,Österreich,,,,,,,,,,,,,,,,,,1.50 g,20 g,,0.50 g,0.50 g,18 g,27 g,1331 kJ / 321 kcal,"HEUMICLH g. t. S., Salz, Kulturen, Labaustauschstoff, Edelschimmel. ",,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,Fackelmann cheese slicer 24 cm,€3.49,Cheese slicer OVAL HANDLE 24cm INOX hang,https://oda.com//de/products/58651-fackelmann-fackelmann-kasehobel-24-cm/,https://bilder.kolonial.no/local_products/45a4b5aa-f5b9-49ca-88cd-9c7bfd687e50.jpg?auto=format&fit=max&w=1000&s=c45a48d7fe553edb5d081f3143501bbe,,,,1 piece,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Fackelmann, Sebastian-Fackelmann-Strasse 6, 91217 Hersbruck",,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,Traditional walnut,€4.09,"Käsezubereitung aus Kuh- und Schafmilch mit Walnüssen, wenige Tage gereift, hellgelber Teig ohne Lochung, keine Rinde, mild-aromatisch, elastisch-zartschmelzende Textur, Marken / Italien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58749-oda-kasetheke-tradizionali-walnuss/,https://bilder.kolonial.no/local_products/00beb635-e400-42a8-8bf1-58c4a6fd97bb.jpg?auto=format&fit=max&w=1000&s=065eb8eb91ccd882d00cc73c54be932b,,,,,,"cheese, eggs and dairy products",cheese counter,oda,,,160 Gramm,daily,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Italien,,,,,,,,,,,,,,,,,,1.08 g,24 g,,0.22 g,0.26 g,19.10 g,28 g,1448 kJ / 349 kcal,"78% KUHMILCH, 18% SCHAFMILCH, 3% WALNÜSSE, Salz, Lab, Käsereikulturen, Aroma. ",,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,Traditional olive,€4.15,"Cheese made from cow's and sheep's milk, matured for a few days, light yellow dough with a smooth, elastic texture, delicately creamy on the palate, mild with a fruity, aromatic olive note, brands , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58750-oda-kasetheke-tradizionali-olive/,https://bilder.kolonial.no/local_products/059eea42-1f34-4aa5-ba04-020e0f74592b.jpg?auto=format&fit=max&w=1000&s=5d0cf16619991e4d235ab37459b1352c,,,,160 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Italy,,,,,,,,1.08g,24g,0.22g,0.26g,19.10g,28g,1448kJ / 349kcal,"78%  COW MILK , 18% SHEEP MILK , green olives (3.5%), salt, rennet, cheese cultures.         ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,Tradizionali Trüffel,"4,65€","Käsezubereitung aus Kuh- und Schafmilch, wenige Tage gereift,hellgelber Teig mit geschmeidiger, elastischer Textur,zarter Schmelz am Gaumen,mild mit aromatischer Trüffelnote, Marken , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58751-oda-kasetheke-tradizionali-truffel/,https://bilder.kolonial.no/local_products/2dff6c4b-f76c-4aec-842a-168fbfdceea7.jpg?auto=format&fit=max&w=1000&s=68f3eb6fbaa84703572ac799beb90ff6,,,,,,"cheese, eggs and dairy products",cheese counter,oda,,,160 Gramm,daily,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Italien,,,,,,,,,,,,,,,,,,1.08 g,24 g,,0.22 g,0.26 g,19.10 g,28 g,1448 kJ / 349 kcal,"78% KUHMILCH, 18% SCHAFMILCH, Trüffelzubereitung 2% (Trüffeln Tuber avestivum, Wasser, Salz, Aroma), Salz, Lab, Aroma. ",,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,Organic Tyrolean milk Kaiseralm 6 months,€5.19,"Hard cheese made from organic raw milk, made with animal rennet, matured for approx. 6 months, mild to strong in taste. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58752-oda-kasetheke-bio-tiroler-milch-kaiseralm-6-mo/,https://bilder.kolonial.no/local_products/7d2afc25-80c2-429a-8244-e7ced48348af.jpg?auto=format&fit=max&w=1000&s=23e8b30e4720fbedc2ca5bcf26c0d96c,,,,150 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,organic product,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Austria,,,,,,,,1.50g,27.30g,0.10g,0.10g,23.30g,35.40g,1775kJ / 428kcal,"HAY MILK  g.  t.  S¹,  cultures¹,  rock salt,  rennet¹.  Bark smeared with  rock salt  . ¹from organic farming.     ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,Fig and almond roll,€2.69,"Exquisite fruit roll in the flavor variation fig-almond from Spain, a delicacy that, with its unique combination, is the ideal addition to any cheese platter, Valencia. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58753-oda-kasetheke-feigen-und-mandelrolle/,https://bilder.kolonial.no/local_products/42901614-b7db-4544-b7d9-9b05ab766c91.jpg?auto=format&fit=max&w=1000&s=c2c09e8d0cc0abc828d75deef676670f,,Spain,,180 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,,,,,,,,,0.20g,5.90g,45.60g,49.40g,0.60g,6.60g,1260kJ / 302kcal,"Figs  85%,  ALMONDS  15%.  May contain  small  pieces  of almond shell  . ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,Tiroler Milch Berg Purist 150 g,€4.49,"Semi-hard or semi-hard cheese made from the best Swiss cow's milk, light brown rind with fine red culture, matured for 3 months, depending on the degree of ripeness, creamy, crumbly or finely crystalline dough, with a delicate melt, from delicately milk-fresh to strong and velvety to aromatic spicy taste. min. 56% fat i. Tr., St. Gallen , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58754-oda-kasetheke-tiroler-milch-berg-purist-150-g/,https://bilder.kolonial.no/local_products/e7401347-7b6d-498a-8645-219d713181f7.jpg?auto=format&fit=max&w=755&s=bd40e5272f1520ee0963c1c8ef9c1fdc,,,,150 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Switzerland,,,,,,,,1.61g,24.10g,0.10g,0.50g,24.40g,35.90g,1764kJ / 422kcal,"COW MILK , cultures, salt, rennet.    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,One (A) Pear Mustard Sauce,€3.09,"Exquisitely fruity pear mustard sauce with a finely balanced heat, fruity-spicy cheese accompaniment, Veneto. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58755-oda-kasetheke-eins-a-birnensenfsauce/,https://bilder.kolonial.no/local_products/d8a3b3e8-640c-4f0e-aca6-7e932cb1c7b5.jpg?auto=format&fit=max&w=851&s=f4dbcfe230852aaae62c6dcada52cef0,,,,120 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Italy,,,,,,,,0.20g,0.50g,59g,68g,0.10g,0.50g,1176kJ / 277kcal,"Glucose-fructose  syrup, pear  preparation  (pears,  glucose-fructose syrup,  sugar,  acidity regulator  citric acid,  preservative  SULFUR DIOXIDE ), pear puree, flavoring, natural MUSTARD flavoring, antioxidant ascorbic acid.       ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,One (A) Fig Mustard Sauce,€2.99,"Exquisitely fruity fig mustard sauce with a finely balanced sharpness, fruity and spicy cheese companion, Veneto. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58756-oda-kasetheke-eins-a-feigensenfsauce/,https://bilder.kolonial.no/local_products/4c1fc918-c652-45e5-a308-570de152adcb.jpg?auto=format&fit=max&w=795&s=a1222eaefa9ce18d794b9a09172235a8,,,,,,"cheese, eggs and dairy products",cheese counter,oda,,,120 Gramm,daily,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Italien,,,,,,,,,,,,,,,,,,0.01 g,0.50 g,,53 g,70 g,0.40 g,0.50 g,1193 kJ / 281 kcal,"Feigenzubereitung (Feigen, Glukose-Fruktose-Sirup, Zucker, Säureregulator Citronensäure, Konservierungsstoff: SCHWEFELDIOXID), Glukose-Fruktose-Sirup, Wasser, natürliches SENFaroma, Aroma, Antioxidationsmittel Ascorbinsäure. ",,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,peasant rebel,€7.55,"Peasant rebel 280g , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58759-oda-kasetheke-bauern-rebell/,https://bilder.kolonial.no/local_products/0a4679ae-4fca-45b5-b8bd-f774c3ed99e4.jpg?auto=format&fit=max&w=1000&s=62f21dad74e5647479b103931cd552a3,,,,280 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Germany,,,,,,,,1.60g,18g,1.30g,1.30g,16.10g,24g,1216kJ / 293kcal,"COW MILK , salt, cheese cultures, rennet substitute, noble mould, bark: coloring agent annatto-norbixin.        ",6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,One (A) Red Fig Mustard Sauce,€2.99,"Exquisitely fruity fig mustard sauce made from red figs with a finely balanced spiciness, fruity and piquant cheese companion, Veneto. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58762-oda-kasetheke-eins-a-rote-feigensenfsauce/,https://bilder.kolonial.no/local_products/2a10657b-11fa-426d-bcca-ce74f95fae50.jpg?auto=format&fit=max&w=852&s=d4c88adf0d28ca047681cf56848657f0,,,,120 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Italy,,,,,,,,0.10g,0.50g,61g,68g,0.10g,0.50g,1175kJ / 277kcal,"Red  fig preparation  (red  figs,  glucose-fructose syrup,  sugar,  acidity regulator  citric acid),  glucose-fructose syrup,  water,  coloring  foodstuff  elderberry juice concentrate,  aroma,  natural  MUSTARD aroma,  aroma. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,Queso de Cabra Don Juan,€5.75,"Semi-hard cheese made from goat's milk with a red rind, matured for approx. 2 months, ivory-coloured, elastic dough, melt-in-the-mouth texture, mildly aromatic taste, Aragon/Spain. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58767-oda-kasetheke-queso-de-cabra-don-juan/,https://bilder.kolonial.no/local_products/df59566f-3f12-4350-a675-e13a0a27f221.jpg?auto=format&fit=max&w=1000&s=c8925bcad5ec50d04a250eb61494b229,,,,200 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Spain,,,,,,,,2g,26g,0.50g,1g,27g,38g,1860kJ / 449kcal,"GOAT'S MILK , salt, rennet, cheese cultures, preservative E 252 potassium nitrate, bark: preservative E 235 natamycin, coloring E 160b (ii) annatto-norbixin. May contain traces of egg .                       ",,,,,,,,,,,,,,eggs.,,,,,,,,,,,,,,,,,,,,,,
25,,,,Queso Manchego DOP 6 months,€7.59,"Hard cheese made from sheep's milk, matured for 6 months, light-brown rind, ivory-colored, compact dough, slightly crumbly, pleasantly creamy mouthfeel, aromatic, slightly salty, Castile-La Mancha. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58768-oda-kasetheke-queso-manchego-dop-6-mo/,https://bilder.kolonial.no/local_products/39e389f0-d306-43c5-a416-27836d4d7f27.jpg?auto=format&fit=max&w=1000&s=31ccec983e185821f4e9b64e0d34c888,,,,200 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Spain,,,,,,,,2g,27g,0.50g,1g,27g,39g,1902kJ / 459kcal,"SHEEP MILK , salt, rennet, cheese cultures, preservative LYSOZYME (EI), bark: preservative E 235 natamycin, coloring E 160b (ii) annatto-norbixin.                 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
